                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49 
                            model_number                                num_zones                             initial_mass                                initial_z                                 star_age                                time_step                                     Teff                            photosphere_L                            photosphere_r                               center_eta                                center_h1                               center_he3                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                                star_mass                                star_mdot                             star_mass_h1                            star_mass_he3                            star_mass_he4                            star_mass_c12                            star_mass_n14                            star_mass_o16                           star_mass_ne20                             he_core_mass                             co_core_mass                             fe_core_mass                   neutron_rich_core_mass                             dynamic_time                             kh_timescale                            nuc_timescale                           power_nuc_burn                             power_h_burn                            power_he_burn                                power_neu                                burn_min1                                burn_min2                             time_seconds                           version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                     msun                                     rsun                                     lsun 
                                     900                                      775                  8.0000000000000000E+001                  2.0000000000000000E-002                  1.4260602568787301E+003                  1.4691649143122723E-001                  5.8519234411382231E+003                  1.3394329951690549E+006                  1.1259429497388237E+003                 -1.0066291317109561E+001                  6.9999999999999329E-001                  2.9797635261202657E-005                  2.7997020236474557E-001                  3.4468833607860356E-003                  1.0103427409335940E-003                  9.3805276451494387E-003                  2.0850244238750110E-003                  8.0000000000000000E+001                  0.0000000000000000E+000                  5.5999999999999950E+001                  2.3838108201601001E-003                  2.2397616189179875E+001                  2.7575066886288818E-001                  8.0827419274688492E-002                  7.5044221161196312E-001                  1.6680195391000280E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.2275294499874383E+007                  9.9936354553911826E+001                  5.9726765197316115E+005                  3.0216315191060538E-005                  3.0216315191060541E-005                  0.0000000000000000E+000                  1.2088532063540181E-006                  5.0000000000000000E+001                  1.0000000000000000E+003                  4.5003039162476212E+010                                "r26.4.1"                               "gfortran"                                 "15.2.0"                    "x86_64-linux-26.3.2"                                 "CRMATH"                               "20260529"                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61                                       62                                       63                                       64                                       65                                       66                                       67                                       68                                       69                                       70                                       71                                       72                                       73                                       74                                       75                                       76                                       77                                       78                                       79                                       80                                       81                                       82                                       83                                       84                                       85                                       86                                       87                                       88                                       89                                       90                                       91                                       92                                       93                                       94                                       95                                       96                                       97                                       98                                       99                                      100                                      101                                      102                                      103                                      104                                      105                                      106                                      107                                      108                                      109                                      110                                      111                                      112                                      113                                      114                                      115                                      116                                      117                                      118                                      119                                      120                                      121                                      122                                      123                                      124                                      125                                      126                                      127                                      128                                      129                                      130                                      131                                      132                                      133                                      134                                      135                                      136                                      137                                      138                                      139                                      140                                      141                                      142                                      143                                      144                                      145                                      146                                      147                                      148                                      149                                      150                                      151                                      152                                      153                                      154                                      155                                      156                                      157                                      158                                      159                                      160                                      161                                      162                                      163                                      164                                      165                                      166                                      167                                      168                                      169                                      170                                      171                                      172                                      173                                      174                                      175                                      176                                      177                                      178                                      179                                      180                                      181                                      182                                      183                                      184                                      185                                      186                                      187                                      188 
                                    zone                                     mass                                     logR                                     logT                                   logRho                                     logP                        x_mass_fraction_H                       y_mass_fraction_He                   z_mass_fraction_metals                     extra_opacity_factor                                       dm                                    logdq                                 dq_ratio                                        q                             vel_km_per_s                                   radius                                radius_cm                                  logR_cm                                     rmid                                 velocity                                  v_div_r                    pressure_scale_height                                     mmid                                    logxq                                       dr                                   log_dr                                dr_div_cs                            log_dr_div_cs                           acoustic_depth                   log_cell_collapse_time                              temperature                                   energy                                     logE                                      rho                                  entropy                                 pressure                                     prad                                     pgas                                  logPgas                          pgas_div_ptotal                                      eta                                       mu                                    grada                                   gamma1                                   free_e                                   csound                               log_csound                             v_div_csound                                 eps_grav                                  eps_nuc                              non_nuc_neu                                       pp                                      cno                                tri_alpha                                  c_alpha                                  n_alpha                                  o_alpha                                 ne_alpha                                 na_alpha                                 mg_alpha                                 si_alpha                                  s_alpha                                 ar_alpha                                 ca_alpha                                 ti_alpha                                 cr_alpha                                 fe_co_ni                                  c12_c12                                  c12_o16                                  o16_o16                                    pnhe4                                    photo                                ni56_co56                                co56_fe56                                    other                                     abar                                     zbar                                    z2bar                                       ye                                        x                                        y                                        z                                    log_z                                       h1                                      he3                                      he4                                      c12                                      n14                                      o16                                     ne20                                     mg24                                   log_h1                                  log_he3                                  log_he4                                  log_c12                                  log_n14                                  log_o16                                 log_ne20                                 log_mg24                                  opacity                              log_opacity                     log_kap_times_factor                               luminosity                                     logL                           log_L_div_Ledd                                  lum_adv                                 lum_conv                                lum_erg_s                         lum_plus_lum_adv                                  lum_rad                        log_abs_lum_erg_s                             total_energy                        mlt_mixing_length                                 conv_vel                             log_conv_vel                             conv_L_div_L                         log_conv_L_div_L                                    gradT                                    gradr                          gradT_sub_grada                      conv_vel_div_csound                            log_mlt_D_mix                                log_D_mix                               log_D_conv                               log_D_semi                                log_D_ovr                               log_D_thrm                            log_D_minimum                    log_D_rayleigh_taylor                              log_D_omega                              log_sig_mix                                 mix_type                                      tau                                   logtau                                    omega                                log_omega                                log_j_rot                            log_J_div_M53                             log_J_inside                            log_abs_shear                                    i_rot                                    j_rot                                    v_rot                                   fp_rot                                   ft_rot                                log_am_nu                                  r_polar                              log_r_polar                             r_equatorial                         log_r_equatorial                              r_e_div_r_p                               omega_crit                     omega_div_omega_crit                               am_log_sig                             am_log_D_DSI                              am_log_D_SH                             am_log_D_SSI                              am_log_D_ES                             am_log_D_GSF                              am_log_D_ST                             am_log_nu_ST                           dynamo_log_B_r                         dynamo_log_B_phi                    RTI_du_diffusion_kick                                alpha_RTI                        boost_for_eta_RTI                                 dedt_RTI                                 dudt_RTI                                  eta_RTI                            log_alpha_RTI                              log_eta_RTI                  log_lambda_RTI_div_Hrho                              log_sig_RTI               log_source_minus_alpha_RTI                log_source_plus_alpha_RTI                               lambda_RTI                           v_div_v_escape                                        u                                   u_face                                   P_face                               extra_heat                                      zFe                         dPdr_dRhodr_info                                    dlogR                                dPdr_info                              dRhodr_info                       log_du_kick_div_du                     L_div_Ledd_effective 
                                       1                  8.0000000000000000E+001                  3.0515163858605217E+000                  3.7672986369671757E+000                 -9.6791471012952357E+000                  1.9101132815727442E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002                  1.0000000000000000E+000                  1.5907278965584403E+023                 -1.2000000000000000E+001                  1.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000                  1.1259429497388237E+003                  7.8331851013329969E+013                  1.3893938389218171E+001                  1.1259429496679932E+003                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.2263652911458283E+000                  7.9999999999959996E+001                 -9.8999999999999986E+001                  9.8548281250000000E+003                  3.9936490542861875E+000                  1.3656886149522185E-002                 -1.8646483110671987E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                  5.8519234574957090E+003                  2.1494624028609802E+012                  1.2332329853094427E+001                  2.0934032723277182E-010                  2.4074103154089446E+001                  8.1304256290439824E+001                  2.9574970369310005E+000                  7.8346759253508822E+001                  1.8940210369574273E+000                  9.6362432704179646E-001                 -2.2309605148869334E+001                  1.3000644888231332E+000                  2.4176265512757383E-001                  1.3407084538565530E+000                  3.5099221855902471E-003                  7.2160139706112968E+005                  5.8582973653533861E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.0696763502547882E-029                  0.0000000000000000E+000                  3.0696763502547882E-029                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.2966429887659308E+000                  1.1021529799335130E+000                  1.3826069774960505E+000                  8.5000496627254196E-001                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002                 -1.6989700043360207E+000                  7.0000000000000007E-001                  2.9797635251138621E-005                  2.7997020236474890E-001                  3.4468833607861553E-003                  1.0103427409336068E-003                  9.3805276451495428E-003                  2.0850244238750366E-003                  4.0772218292556778E-003                 -1.5490195998574310E-001                 -4.5258182002905869E+000                 -5.5288818879064094E-001                 -2.4625734124504821E+000                 -2.9955312744887621E+000                 -2.0277727323104977E+000                 -2.6808888533559170E+000                 -2.3896356592613932E+000                  1.4450800430882685E-002                 -1.8401080966383749E+000                 -1.8401080966383749E+000                  1.3394329951690549E+006                  6.1269209930049335E+000                 -1.7322473440470654E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.1273495055071423E+039                  5.1273495055071423E+039                  1.3394329951690549E+006                  3.9709892922109738E+001                 -1.3338921137181873E+014                  4.4891646661003052E+011                  0.0000000000000000E+000                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                  1.2731559662422406E-001                  1.2731559662422406E-001                 -1.1444705850334977E-001                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                                        0                  6.6666666666666663E-001                 -1.7609125905568127E-001                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                 -9.8999999999999986E+001                  1.1259429497388237E+003                  3.0515163858605217E+000                  1.1259429497388237E+003                  3.0515163858605217E+000                  0.0000000000000000E+000                  1.4724240424997692E-007                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.4638022792936007E-011                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.8521987248204738E-002 
                                       2                  7.9999999999920007E+001                  3.0515163858058836E+000                  3.7672986482111352E+000                 -9.6791470231229209E+000                  1.9101133698883859E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002                  1.0000000000000000E+000                  1.3144553958605232E+024                 -1.1082850043814236E+001                  1.2101802020577899E-001                  9.9999999999900002E-001                  0.0000000000000000E+000                  1.1259429495971704E+003                  7.8331851003475141E+013                  1.3893938389163532E+001                  1.1259429490118960E+003                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.2263653656918172E+000                  7.9999999999589477E+001                 -1.2000000000000000E+001                  8.1434234375000000E+004                  4.9108070175987457E+000                  1.1285210189173363E-001                 -9.4749034769405682E-001                  1.3656886149522185E-002                 -9.8999999999999986E+001                  5.8519236090030254E+003                  2.1494624272675505E+012                  1.2332329858025723E+001                  2.0934036491370107E-010                  2.4074103060572099E+001                  8.1304272824009999E+001                  2.9574973432114633E+000                  7.8346775480798541E+001                  1.8940211269090950E+000                  9.6362433067185516E-001                 -2.2309604737294510E+001                  1.3000644872199225E+000                  2.4176263776176327E-001                  1.3407084221690868E+000                  3.5099231347148372E-003                  7.2160139696046745E+005                  5.8582973652928025E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.0696769027994314E-029                  0.0000000000000000E+000                  3.0696769027994314E-029                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.2966429887659308E+000                  1.1021529799335130E+000                  1.3826069774960505E+000                  8.5000496627254196E-001                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002                 -1.6989700043360207E+000                  7.0000000000000007E-001                  2.9797635251138621E-005                  2.7997020236474890E-001                  3.4468833607861553E-003                  1.0103427409336068E-003                  9.3805276451495428E-003                  2.0850244238750366E-003                  4.0772218292556778E-003                 -1.5490195998574310E-001                 -4.5258182002905869E+000                 -5.5288818879064094E-001                 -2.4625734124504821E+000                 -2.9955312744887621E+000                 -2.0277727323104977E+000                 -2.6808888533559170E+000                 -2.3896356592613932E+000                  1.4450806115055038E-002                 -1.8401079258101765E+000                 -1.8401079258101765E+000                  1.3394329951668717E+006                  6.1269209930042257E+000                 -1.7322473440477733E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.1273495054987850E+039                  5.1273495054987850E+039                  1.3394329951668717E+006                  3.9709892922109027E+001                 -1.3338921142576377E+014                  4.4891646762940106E+011                  0.0000000000000000E+000                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                  1.2731560340195436E-001                  1.2731560340195436E-001                 -1.1444704985091630E-001                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                                        0                  6.6666669647935628E-001                 -1.7609123963445178E-001                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                 -9.8999999999999986E+001                  1.1259429495971704E+003                  3.0515163858058836E+000                  1.1259429495971704E+003                  3.0515163858058836E+000                  0.0000000000000000E+000                  1.4724240437860250E-007                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.5149503399235608E-010                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.8521986385859505E-002 
                                       3                  7.9999999999258947E+001                  3.0515163853543887E+000                  3.7672986682714131E+000                 -9.6791468836563244E+000                  1.9101135274516354E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002                  1.0000000000000000E+000                  1.3144553958605232E+024                 -1.1082850043814236E+001                  1.0000000000000000E+000                  9.9999999999073674E-001                  0.0000000000000000E+000                  1.1259429484266336E+003                  7.8331850922040906E+013                  1.3893938388712037E+001                  1.1259429478413633E+003                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.2263654934498778E+000                  7.9999999998928416E+001                 -1.1033237449940913E+001                  8.1434250000000000E+004                  4.9108071009279586E+000                  1.1285212357304833E-001                 -9.4749026425675908E-001                  1.2650898804125582E-001                 -9.8999999999999986E+001                  5.8519238793062905E+003                  2.1494624708111921E+012                  1.2332329866823628E+001                  2.0934043213995877E-010                  2.4074102893729037E+001                  8.1304302321432345E+001                  2.9574978896446011E+000                  7.8346804431787746E+001                  1.8940212873911626E+000                  9.6362433714820794E-001                 -2.2309604003006605E+001                  1.3000644843596436E+000                  2.4176260677951539E-001                  1.3407083656356560E+000                  3.5099248280432019E-003                  7.2160139678087865E+005                  5.8582973651847174E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.0696778885901042E-029                  0.0000000000000000E+000                  3.0696778885901042E-029                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.2966429887659308E+000                  1.1021529799335130E+000                  1.3826069774960505E+000                  8.5000496627254196E-001                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002                 -1.6989700043360207E+000                  7.0000000000000007E-001                  2.9797635251138621E-005                  2.7997020236474890E-001                  3.4468833607861553E-003                  1.0103427409336068E-003                  9.3805276451495428E-003                  2.0850244238750366E-003                  4.0772218292556778E-003                 -1.5490195998574310E-001                 -4.5258182002905869E+000                 -5.5288818879064094E-001                 -2.4625734124504821E+000                 -2.9955312744887621E+000                 -2.0277727323104977E+000                 -2.6808888533559170E+000                 -2.3896356592613932E+000                  1.4450816256155692E-002                 -1.8401076210366938E+000                 -1.8401076210366938E+000                  1.3394329951677124E+006                  6.1269209930044983E+000                 -1.7322470392705249E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.1273495055020037E+039                  5.1273495055020037E+039                  1.3394329951677124E+006                  3.9709892922109297E+001                 -1.3338921152200691E+014                  4.4891648540564777E+011                  0.0000000000000000E+000                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                  1.2731571541638048E-001                  1.2731571541638048E-001                 -1.1444690685425885E-001                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                                        0                  6.6666694282862982E-001                 -1.7609107915229344E-001                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                 -9.8999999999999986E+001                  1.1259429484266336E+003                  3.0515163853543887E+000                  1.1259429484266336E+003                  3.0515163853543887E+000                  0.0000000000000000E+000                  1.4724240355157861E-007                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.5149503399235608E-010                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.8521999384145182E-002 
                                       4                  7.9999999998597872E+001                  3.0515163849028939E+000                  3.7672987021231483E+000                 -9.6791466483066060E+000                  1.9101137933394787E+000                  7.0000000000000007E-001                  2.8000000000000014E-001                  1.9999999999999796E-002                  1.0000000000000000E+000                  3.1218315651687417E+024                 -1.0707186429853351E+001                  4.2105263157894746E-001                  9.9999999998247346E-001                  0.0000000000000000E+000                  1.1259429472560969E+003                  7.8331850840606656E+013                  1.3893938388260542E+001                  1.1259429458660879E+003                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.2263657136353983E+000                  7.9999999997812878E+001                 -1.0756305685508572E+001                  1.9340557812500000E+005                  5.2864689956723776E+000                  2.6802273259035431E-001                 -5.7182836932994241E-001                  2.3936111161430415E-001                 -9.8999999999999986E+001                  5.8519243354432974E+003                  2.1494625442911936E+012                  1.2332329881670111E+001                  2.0934054558423973E-010                  2.4074102612182052E+001                  8.1304352098330583E+001                  2.9574988117511904E+000                  7.8346853286579389E+001                  1.8940215582045030E+000                  9.6362434807703334E-001                 -2.2309602763895573E+001                  1.3000644795329150E+000                  2.4176255449691753E-001                  1.3407082702354074E+000                  3.5099276855389753E-003                  7.2160139647781628E+005                  5.8582973650023202E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.0696795521114398E-029                  0.0000000000000000E+000                  3.0696795521114398E-029                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.2966429887659310E+000                  1.1021529799335132E+000                  1.3826069774960512E+000                  8.5000496627254207E-001                  7.0000000000000007E-001                  2.8000000000000014E-001                  1.9999999999999796E-002                 -1.6989700043360232E+000                  7.0000000000000007E-001                  2.9797635251138570E-005                  2.7997020236474901E-001                  3.4468833607861483E-003                  1.0103427409336070E-003                  9.3805276451495462E-003                  2.0850244238750366E-003                  4.0772218292556795E-003                 -1.5490195998574310E-001                 -4.5258182002905878E+000                 -5.5288818879064083E-001                 -2.4625734124504830E+000                 -2.9955312744887617E+000                 -2.0277727323104973E+000                 -2.6808888533559170E+000                 -2.3896356592613932E+000                  1.4450833369285012E-002                 -1.8401071067312664E+000                 -1.8401071067312664E+000                  1.3394329951685534E+006                  6.1269209930047710E+000                 -1.7322467344931409E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.1273495055052225E+039                  5.1273495055052225E+039                  1.3394329951685534E+006                  3.9709892922109574E+001                 -1.3338921168441648E+014                  4.4891650318191327E+011                  0.0000000000000000E+000                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                  1.2731582743091682E-001                  1.2731582743091682E-001                 -1.1444676385745847E-001                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                                        0                  6.6666718917807666E-001                 -1.7609091867008150E-001                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                 -9.8999999999999986E+001                  1.1259429472560969E+003                  3.0515163849028939E+000                  1.1259429472560969E+003                  3.0515163849028939E+000                  0.0000000000000000E+000                  1.4724240293330724E-007                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0722966555564862E-009                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.8522010115299727E-002 
