                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49 
                            model_number                                num_zones                             initial_mass                                initial_z                                 star_age                                time_step                                     Teff                            photosphere_L                            photosphere_r                               center_eta                                center_h1                               center_he3                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                                star_mass                                star_mdot                             star_mass_h1                            star_mass_he3                            star_mass_he4                            star_mass_c12                            star_mass_n14                            star_mass_o16                           star_mass_ne20                             he_core_mass                             co_core_mass                             fe_core_mass                   neutron_rich_core_mass                             dynamic_time                             kh_timescale                            nuc_timescale                           power_nuc_burn                             power_h_burn                            power_he_burn                                power_neu                                burn_min1                                burn_min2                             time_seconds                           version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                     msun                                     rsun                                     lsun 
                                     900                                      763                  8.0000000000000000E+001                  2.0000000000000000E-002                  1.4246664110078116E+003                  1.5044588984033386E-001                  5.9027352170649228E+003                  1.3428774222433311E+006                  1.1080637377344215E+003                 -1.0067955360162427E+001                  6.9999999999999363E-001                  2.9797635261073176E-005                  2.7997020236474568E-001                  3.4468833607860390E-003                  1.0103427409335944E-003                  9.3805276451494439E-003                  2.0850244238750119E-003                  8.0000000000000000E+001                  0.0000000000000000E+000                  5.5999999999999950E+001                  2.3838108201591837E-003                  2.2397616189179875E+001                  2.7575066886288824E-001                  8.0827419274688492E-002                  7.5044221161196312E-001                  1.6680195391000280E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.1272347985040277E+007                  1.0128841323722864E+002                  5.9573568424701609E+005                  2.9920050771405639E-005                  2.9920050771405629E-005                  0.0000000000000000E+000                  1.1970006663328389E-006                  5.0000000000000000E+001                  1.0000000000000000E+003                  4.4959052732020111E+010                                "r26.4.1"                               "gfortran"                                 "15.2.0"                    "x86_64-linux-26.3.2"                                 "CRMATH"                               "20260530"                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61                                       62                                       63                                       64                                       65                                       66                                       67                                       68                                       69                                       70                                       71                                       72                                       73                                       74                                       75                                       76                                       77                                       78                                       79                                       80                                       81                                       82                                       83                                       84                                       85                                       86                                       87                                       88                                       89                                       90                                       91                                       92                                       93                                       94                                       95                                       96                                       97                                       98                                       99                                      100                                      101                                      102                                      103                                      104                                      105                                      106                                      107                                      108                                      109                                      110                                      111                                      112                                      113                                      114                                      115                                      116                                      117                                      118                                      119                                      120                                      121                                      122                                      123                                      124                                      125                                      126                                      127                                      128                                      129                                      130                                      131                                      132                                      133                                      134                                      135                                      136                                      137                                      138                                      139                                      140                                      141                                      142                                      143                                      144                                      145                                      146                                      147                                      148                                      149                                      150                                      151                                      152                                      153                                      154                                      155                                      156                                      157                                      158                                      159                                      160                                      161                                      162                                      163                                      164                                      165                                      166                                      167                                      168                                      169                                      170                                      171                                      172                                      173                                      174                                      175                                      176                                      177                                      178                                      179                                      180                                      181                                      182                                      183                                      184                                      185                                      186                                      187                                      188 
                                    zone                                     mass                                     logR                                     logT                                   logRho                                     logP                        x_mass_fraction_H                       y_mass_fraction_He                   z_mass_fraction_metals                     extra_opacity_factor                                       dm                                    logdq                                 dq_ratio                                        q                             vel_km_per_s                                   radius                                radius_cm                                  logR_cm                                     rmid                                 velocity                                  v_div_r                    pressure_scale_height                                     mmid                                    logxq                                       dr                                   log_dr                                dr_div_cs                            log_dr_div_cs                           acoustic_depth                   log_cell_collapse_time                              temperature                                   energy                                     logE                                      rho                                  entropy                                 pressure                                     prad                                     pgas                                  logPgas                          pgas_div_ptotal                                      eta                                       mu                                    grada                                   gamma1                                   free_e                                   csound                               log_csound                             v_div_csound                                 eps_grav                                  eps_nuc                              non_nuc_neu                                       pp                                      cno                                tri_alpha                                  c_alpha                                  n_alpha                                  o_alpha                                 ne_alpha                                 na_alpha                                 mg_alpha                                 si_alpha                                  s_alpha                                 ar_alpha                                 ca_alpha                                 ti_alpha                                 cr_alpha                                 fe_co_ni                                  c12_c12                                  c12_o16                                  o16_o16                                    pnhe4                                    photo                                ni56_co56                                co56_fe56                                    other                                     abar                                     zbar                                    z2bar                                       ye                                        x                                        y                                        z                                    log_z                                       h1                                      he3                                      he4                                      c12                                      n14                                      o16                                     ne20                                     mg24                                   log_h1                                  log_he3                                  log_he4                                  log_c12                                  log_n14                                  log_o16                                 log_ne20                                 log_mg24                                  opacity                              log_opacity                     log_kap_times_factor                               luminosity                                     logL                           log_L_div_Ledd                                  lum_adv                                 lum_conv                                lum_erg_s                         lum_plus_lum_adv                                  lum_rad                        log_abs_lum_erg_s                             total_energy                        mlt_mixing_length                                 conv_vel                             log_conv_vel                             conv_L_div_L                         log_conv_L_div_L                                    gradT                                    gradr                          gradT_sub_grada                      conv_vel_div_csound                            log_mlt_D_mix                                log_D_mix                               log_D_conv                               log_D_semi                                log_D_ovr                               log_D_thrm                            log_D_minimum                    log_D_rayleigh_taylor                              log_D_omega                              log_sig_mix                                 mix_type                                      tau                                   logtau                                    omega                                log_omega                                log_j_rot                            log_J_div_M53                             log_J_inside                            log_abs_shear                                    i_rot                                    j_rot                                    v_rot                                   fp_rot                                   ft_rot                                log_am_nu                                  r_polar                              log_r_polar                             r_equatorial                         log_r_equatorial                              r_e_div_r_p                               omega_crit                     omega_div_omega_crit                               am_log_sig                             am_log_D_DSI                              am_log_D_SH                             am_log_D_SSI                              am_log_D_ES                             am_log_D_GSF                              am_log_D_ST                             am_log_nu_ST                           dynamo_log_B_r                         dynamo_log_B_phi                    RTI_du_diffusion_kick                                alpha_RTI                        boost_for_eta_RTI                                 dedt_RTI                                 dudt_RTI                                  eta_RTI                            log_alpha_RTI                              log_eta_RTI                  log_lambda_RTI_div_Hrho                              log_sig_RTI               log_source_minus_alpha_RTI                log_source_plus_alpha_RTI                               lambda_RTI                           v_div_v_escape                                        u                                   u_face                                   P_face                               extra_heat                                      zFe                         dPdr_dRhodr_info                                    dlogR                                dPdr_info                              dRhodr_info                       log_du_kick_div_du                     L_div_Ledd_effective 
                                       1                  8.0000000000000000E+001                  3.0445647424774336E+000                  3.7710533036001919E+000                 -9.7116641303215250E+000                  1.8833438614929834E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002                  1.0000000000000000E+000                  1.5907278965584403E+023                 -1.2000000000000000E+001                  1.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000                  1.1080637377344215E+003                  7.7087994234183703E+013                  1.3886986745835083E+001                  1.1080637376555983E+003                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.1663422729912294E+000                  7.9999999999959996E+001                 -9.8999999999999986E+001                  1.0966921875000000E+004                  4.0400847496997292E+000                  1.5212325596536892E-002                 -1.8178043877525658E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                  5.9027352358162461E+003                  2.1674187184446758E+012                  1.2335942819738628E+001                  1.9423874781918927E-010                  2.4170747498839830E+001                  7.6444080558935156E+001                  3.0615614777550122E+000                  7.3382519081180149E+001                  1.8655926161726948E+000                  9.5995031328299285E-001                 -2.2241627869545148E+001                  1.2990650370523278E+000                  2.3097837033880231E-001                  1.3205969292672792E+000                  4.1017449117486272E-003                  7.2092342524516012E+005                  5.8578891374522950E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.8482303673925412E-029                  0.0000000000000000E+000                  2.8482303673925412E-029                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.2966429887659308E+000                  1.1021529799335130E+000                  1.3826069774960505E+000                  8.5000496627254196E-001                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002                 -1.6989700043360207E+000                  7.0000000000000007E-001                  2.9797635251138621E-005                  2.7997020236474890E-001                  3.4468833607861553E-003                  1.0103427409336068E-003                  9.3805276451495428E-003                  2.0850244238750366E-003                  4.0772218292556778E-003                 -1.5490195998574310E-001                 -4.5258182002905869E+000                 -5.5288818879064094E-001                 -2.4625734124504821E+000                 -2.9955312744887621E+000                 -2.0277727323104977E+000                 -2.6808888533559170E+000                 -2.3896356592613932E+000                  1.5899298157369523E-002                 -1.7986220463153355E+000                 -1.7986220463153355E+000                  1.3428774222433311E+006                  6.1280363721081130E+000                 -1.6896459120642655E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.1405347723474719E+039                  5.1405347723474719E+039                  1.3428774222433311E+006                  3.9711008301212914E+001                 -1.3555824539076534E+014                  4.4056486386399957E+011                  0.0000000000000000E+000                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                  1.2755425554221045E-001                  1.2755425554221045E-001                 -1.0342411479659186E-001                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                                        0                  6.6666666666666663E-001                 -1.7609125905568127E-001                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                 -9.8999999999999986E+001                  1.1080637377344215E+003                  3.0445647424774336E+000                  1.1080637377344215E+003                  3.0445647424774336E+000                  0.0000000000000000E+000                  1.5067372868214870E-007                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.1784846513055736E-011                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.0430971138366508E-002 
                                       2                  7.9999999999920007E+001                  3.0445647424156483E+000                  3.7710533163736542E+000                 -9.7116640416126874E+000                  1.8833439616343772E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002                  1.0000000000000000E+000                  1.3144553958605232E+024                 -1.1082850043814236E+001                  1.2101802020577899E-001                  9.9999999999900002E-001                  0.0000000000000000E+000                  1.1080637375767828E+003                  7.7087994223216781E+013                  1.3886986745773298E+001                  1.1080637369254905E+003                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.1663423554456500E+000                  7.9999999999589477E+001                 -1.2000000000000000E+001                  9.0620265625000000E+004                  4.9572253308436380E+000                  1.2570026506868473E-001                 -9.0066380650063149E-001                  1.5212325596536892E-002                 -9.8999999999999986E+001                  5.9027354094274024E+003                  2.1674187483127517E+012                  1.2335942825723416E+001                  1.9423878749433112E-010                  2.4170747395903742E+001                  7.6444098185725252E+001                  3.0615618379414209E+000                  7.3382536347783827E+001                  1.8655927183603809E+000                  9.5995031780604978E-001                 -2.2241627404623816E+001                  1.2990650349417951E+000                  2.3097835036973344E-001                  1.3205968938463446E+000                  4.1017461618768260E-003                  7.2092342506583873E+005                  5.8578891373442694E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.8482309491789696E-029                  0.0000000000000000E+000                  2.8482309491789696E-029                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.2966429887659308E+000                  1.1021529799335130E+000                  1.3826069774960505E+000                  8.5000496627254196E-001                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002                 -1.6989700043360207E+000                  7.0000000000000007E-001                  2.9797635251138621E-005                  2.7997020236474890E-001                  3.4468833607861553E-003                  1.0103427409336068E-003                  9.3805276451495428E-003                  2.0850244238750366E-003                  4.0772218292556778E-003                 -1.5490195998574310E-001                 -4.5258182002905869E+000                 -5.5288818879064094E-001                 -2.4625734124504821E+000                 -2.9955312744887621E+000                 -2.0277727323104977E+000                 -2.6808888533559170E+000                 -2.3896356592613932E+000                  1.5899305278296551E-002                 -1.7986218518049495E+000                 -1.7986218518049495E+000                  1.3428774222410894E+006                  6.1280363721073883E+000                 -1.6896459120649905E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.1405347723388910E+039                  5.1405347723388910E+039                  1.3428774222410894E+006                  3.9711008301212189E+001                 -1.3555824545100741E+014                  4.4056486499109241E+011                  0.0000000000000000E+000                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                  1.2755426326449262E-001                  1.2755426326449262E-001                 -1.0342410491857520E-001                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                                        0                  6.6666670053474031E-001                 -1.7609123699260557E-001                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                 -9.8999999999999986E+001                  1.1080637375767828E+003                  3.0445647424156483E+000                  1.1080637375767828E+003                  3.0445647424156483E+000                  0.0000000000000000E+000                  1.5067372883099267E-007                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.1053193295672154E-010                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.0430970067885988E-002 
                                       3                  7.9999999999258947E+001                  3.0445647419051167E+000                  3.7710533469964460E+000                 -9.7116638289445092E+000                  1.8833442017107029E+000                  7.0000000000000007E-001                  2.8000000000000014E-001                  1.9999999999999796E-002                  1.0000000000000000E+000                  2.2181434805146327E+024                 -1.0855606262311174E+001                  5.9259259259259267E-001                  9.9999999999073674E-001                  0.0000000000000000E+000                  1.1080637362742061E+003                  7.7087994132596516E+013                  1.3886986745262766E+001                  1.1080637351751532E+003                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.1663425478540481E+000                  7.9999999998701171E+001                 -1.1033237449940913E+001                  1.5292193750000000E+005                  5.1844697918334415E+000                  2.1211952930677097E-001                 -6.7341934525184766E-001                  1.4091259066522163E-001                 -9.8999999999999986E+001                  5.9027358256386415E+003                  2.1674188199178447E+012                  1.2335942840071217E+001                  1.9423888261048148E-010                  2.4170747149127582E+001                  7.6444140443741546E+001                  3.0615627014438425E+000                  7.3382577742297698E+001                  1.8655929633424266E+000                  9.5995032864949303E-001                 -2.2241626290032915E+001                  1.2990650298820512E+000                  2.3097830249634294E-001                  1.3205968089290121E+000                  4.1017491589067610E-003                  7.2092342463593546E+005                  5.8578891370852890E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.8482323439385829E-029                  0.0000000000000000E+000                  2.8482323439385829E-029                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.2966429887659310E+000                  1.1021529799335132E+000                  1.3826069774960512E+000                  8.5000496627254207E-001                  7.0000000000000007E-001                  2.8000000000000014E-001                  1.9999999999999796E-002                 -1.6989700043360232E+000                  7.0000000000000007E-001                  2.9797635251138567E-005                  2.7997020236474901E-001                  3.4468833607861479E-003                  1.0103427409336068E-003                  9.3805276451495462E-003                  2.0850244238750366E-003                  4.0772218292556795E-003                 -1.5490195998574310E-001                 -4.5258182002905878E+000                 -5.5288818879064083E-001                 -2.4625734124504830E+000                 -2.9955312744887621E+000                 -2.0277727323104973E+000                 -2.6808888533559170E+000                 -2.3896356592613932E+000                  1.5899322349846808E-002                 -1.7986213854904807E+000                 -1.7986213854904807E+000                  1.3428774222419867E+006                  6.1280363721076787E+000                 -1.6896455650365194E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.1405347723423255E+039                  5.1405347723423255E+039                  1.3428774222419867E+006                  3.9711008301212480E+001                 -1.3555824559542967E+014                  4.4056488465017145E+011                  0.0000000000000000E+000                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                  1.2755439088913195E-001                  1.2755439088913195E-001                 -1.0342394166724686E-001                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                                        0                  6.6666698039462235E-001                 -1.7609105468024938E-001                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                 -9.8999999999999986E+001                  1.1080637362742061E+003                  3.0445647419051167E+000                  1.1080637362742061E+003                  3.0445647419051167E+000                  0.0000000000000000E+000                  1.5067372789118290E-007                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  8.6152398692292082E-010                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.0430984978442025E-002 
                                       4                  7.9999999998143409E+001                  3.0445647410435925E+000                  3.7710533854530137E+000                 -9.7116635618730900E+000                  1.8833445032017153E+000                  7.0000000000000007E-001                  2.8000000000000014E-001                  1.9999999999999796E-002                  1.0000000000000000E+000                  2.2181434805146327E+024                 -1.0855606262311174E+001                  1.0000000000000000E+000                  9.9999999997679256E-001                  0.0000000000000000E+000                  1.1080637340761043E+003                  7.7087993979674578E+013                  1.3886986744401241E+001                  1.1080637329770475E+003                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.1663427862813029E+000                  7.9999999997585633E+001                 -1.0634372829043119E+001                  1.5292221875000000E+005                  5.1844705905756800E+000                  2.1211991959027332E-001                 -6.7341854618437813E-001                  3.5303211997199258E-001                 -9.8999999999999986E+001                  5.9027363483230865E+003                  2.1674189098407285E+012                  1.2335942858089430E+001                  1.9423900205862588E-010                  2.4170746839223671E+001                  7.6444193511948129E+001                  3.0615637858436613E+000                  7.3382629726104469E+001                  1.8655932709940946E+000                  9.5995034226680487E-001                 -2.2241624890313396E+001                  1.2990650235279388E+000                  2.3097824237616368E-001                  1.3205967022884666E+000                  4.1017529226276802E-003                  7.2092342409605638E+005                  5.8578891367600585E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.8482340954965153E-029                  0.0000000000000000E+000                  2.8482340954965153E-029                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.2966429887659310E+000                  1.1021529799335132E+000                  1.3826069774960512E+000                  8.5000496627254207E-001                  7.0000000000000007E-001                  2.8000000000000014E-001                  1.9999999999999796E-002                 -1.6989700043360232E+000                  7.0000000000000007E-001                  2.9797635251138567E-005                  2.7997020236474901E-001                  3.4468833607861479E-003                  1.0103427409336068E-003                  9.3805276451495462E-003                  2.0850244238750366E-003                  4.0772218292556795E-003                 -1.5490195998574310E-001                 -4.5258182002905878E+000                 -5.5288818879064083E-001                 -2.4625734124504830E+000                 -2.9955312744887621E+000                 -2.0277727323104973E+000                 -2.6808888533559170E+000                 -2.3896356592613932E+000                  1.5899343788580760E-002                 -1.7986207998858008E+000                 -1.7986207998858008E+000                  1.3428774222435015E+006                  6.1280363721081681E+000                 -1.6896449794255415E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.1405347723481241E+039                  5.1405347723481241E+039                  1.3428774222435015E+006                  3.9711008301212971E+001                 -1.3555824577679741E+014                  4.4056491782491064E+011                  0.0000000000000000E+000                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                  1.2755460625601048E-001                  1.2755460625601048E-001                 -1.0342366618024282E-001                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                                        0                  6.6666745265868177E-001                 -1.7609074702799063E-001                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                 -9.8999999999999986E+001                  1.1080637340761043E+003                  3.0445647410435925E+000                  1.1080637340761043E+003                  3.0445647410435925E+000                  0.0000000000000000E+000                  1.5067372628325989E-007                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  8.6152552984686732E-010                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.0431012528002290E-002 
