                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49 
                            model_number                                num_zones                             initial_mass                                initial_z                                 star_age                                time_step                                     Teff                            photosphere_L                            photosphere_r                               center_eta                                center_h1                               center_he3                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                                star_mass                                star_mdot                             star_mass_h1                            star_mass_he3                            star_mass_he4                            star_mass_c12                            star_mass_n14                            star_mass_o16                           star_mass_ne20                             he_core_mass                             co_core_mass                             fe_core_mass                   neutron_rich_core_mass                             dynamic_time                             kh_timescale                            nuc_timescale                           power_nuc_burn                             power_h_burn                            power_he_burn                                power_neu                                burn_min1                                burn_min2                             time_seconds                           version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                     msun                                     rsun                                     lsun 
                                    2200                                     1010                  8.0000000000000000E+001                  2.0000000000000000E-002                  4.5328699593294725E+004                  4.7597572955381793E+001                  4.8784563218487106E+004                  8.8665112531125837E+005                  1.3181496045535956E+001                 -7.2459123041908224E+000                  6.9434639757767558E-001                  1.7056622777653237E-008                  2.8522363200474060E-001                  9.1524633075103787E-005                  5.8298395788639844E-003                  8.3463428958913139E-003                  2.0850244238750314E-003                  7.9838210941885961E+001                 -3.3016113900952598E-006                  5.5538857419480209E+001                  5.4148347700459603E-004                  2.2675502638740170E+001                  6.8198150508223448E-002                  3.7783567155005621E-001                  6.8529286189702154E-001                  1.6646461977231897E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.3604187013407551E+004                  1.2843548436411435E+004                  9.0044673336267192E+005                  8.8840417118980701E+005                  8.8840417118980712E+005                  3.1186896607588456E-025                  6.1702627087143133E+004                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.4304649702853577E+012                                "r26.4.1"                               "gfortran"                                 "15.2.0"                    "x86_64-linux-26.3.2"                                 "CRMATH"                               "20260530"                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61                                       62                                       63                                       64                                       65                                       66                                       67                                       68                                       69                                       70                                       71                                       72                                       73                                       74                                       75                                       76                                       77                                       78                                       79                                       80                                       81                                       82                                       83                                       84                                       85                                       86                                       87                                       88                                       89                                       90                                       91                                       92                                       93                                       94                                       95                                       96                                       97                                       98                                       99                                      100                                      101                                      102                                      103                                      104                                      105                                      106                                      107                                      108                                      109                                      110                                      111                                      112                                      113                                      114                                      115                                      116                                      117                                      118                                      119                                      120                                      121                                      122                                      123                                      124                                      125                                      126                                      127                                      128                                      129                                      130                                      131                                      132                                      133                                      134                                      135                                      136                                      137                                      138                                      139                                      140                                      141                                      142                                      143                                      144                                      145                                      146                                      147                                      148                                      149                                      150                                      151                                      152                                      153                                      154                                      155                                      156                                      157                                      158                                      159                                      160                                      161                                      162                                      163                                      164                                      165                                      166                                      167                                      168                                      169                                      170                                      171                                      172                                      173                                      174                                      175                                      176                                      177                                      178                                      179                                      180                                      181                                      182                                      183                                      184                                      185                                      186                                      187                                      188 
                                    zone                                     mass                                     logR                                     logT                                   logRho                                     logP                        x_mass_fraction_H                       y_mass_fraction_He                   z_mass_fraction_metals                     extra_opacity_factor                                       dm                                    logdq                                 dq_ratio                                        q                             vel_km_per_s                                   radius                                radius_cm                                  logR_cm                                     rmid                                 velocity                                  v_div_r                    pressure_scale_height                                     mmid                                    logxq                                       dr                                   log_dr                                dr_div_cs                            log_dr_div_cs                           acoustic_depth                   log_cell_collapse_time                              temperature                                   energy                                     logE                                      rho                                  entropy                                 pressure                                     prad                                     pgas                                  logPgas                          pgas_div_ptotal                                      eta                                       mu                                    grada                                   gamma1                                   free_e                                   csound                               log_csound                             v_div_csound                                 eps_grav                                  eps_nuc                              non_nuc_neu                                       pp                                      cno                                tri_alpha                                  c_alpha                                  n_alpha                                  o_alpha                                 ne_alpha                                 na_alpha                                 mg_alpha                                 si_alpha                                  s_alpha                                 ar_alpha                                 ca_alpha                                 ti_alpha                                 cr_alpha                                 fe_co_ni                                  c12_c12                                  c12_o16                                  o16_o16                                    pnhe4                                    photo                                ni56_co56                                co56_fe56                                    other                                     abar                                     zbar                                    z2bar                                       ye                                        x                                        y                                        z                                    log_z                                       h1                                      he3                                      he4                                      c12                                      n14                                      o16                                     ne20                                     mg24                                   log_h1                                  log_he3                                  log_he4                                  log_c12                                  log_n14                                  log_o16                                 log_ne20                                 log_mg24                                  opacity                              log_opacity                     log_kap_times_factor                               luminosity                                     logL                           log_L_div_Ledd                                  lum_adv                                 lum_conv                                lum_erg_s                         lum_plus_lum_adv                                  lum_rad                        log_abs_lum_erg_s                             total_energy                        mlt_mixing_length                                 conv_vel                             log_conv_vel                             conv_L_div_L                         log_conv_L_div_L                                    gradT                                    gradr                          gradT_sub_grada                      conv_vel_div_csound                            log_mlt_D_mix                                log_D_mix                               log_D_conv                               log_D_semi                                log_D_ovr                               log_D_thrm                            log_D_minimum                    log_D_rayleigh_taylor                              log_D_omega                              log_sig_mix                                 mix_type                                      tau                                   logtau                                    omega                                log_omega                                log_j_rot                            log_J_div_M53                             log_J_inside                            log_abs_shear                                    i_rot                                    j_rot                                    v_rot                                   fp_rot                                   ft_rot                                log_am_nu                                  r_polar                              log_r_polar                             r_equatorial                         log_r_equatorial                              r_e_div_r_p                               omega_crit                     omega_div_omega_crit                               am_log_sig                             am_log_D_DSI                              am_log_D_SH                             am_log_D_SSI                              am_log_D_ES                             am_log_D_GSF                              am_log_D_ST                             am_log_nu_ST                           dynamo_log_B_r                         dynamo_log_B_phi                    RTI_du_diffusion_kick                                alpha_RTI                        boost_for_eta_RTI                                 dedt_RTI                                 dudt_RTI                                  eta_RTI                            log_alpha_RTI                              log_eta_RTI                  log_lambda_RTI_div_Hrho                              log_sig_RTI               log_source_minus_alpha_RTI                log_source_plus_alpha_RTI                               lambda_RTI                           v_div_v_escape                                        u                                   u_face                                   P_face                               extra_heat                                      zFe                         dPdr_dRhodr_info                                    dlogR                                dPdr_info                              dRhodr_info                       log_du_kick_div_du                     L_div_Ledd_effective 
                                       1                  7.9838210941885961E+001                  1.1199647036911495E+000                  4.6885289552296125E+000                 -9.2987988992896273E+000                  4.2452194496657496E+000                  6.9999999999999474E-001                  2.8000000000000552E-001                  1.9999999999999796E-002                  1.0000000000000000E+000                  7.9375543347862087E+022                 -1.2301029995663967E+001                  1.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000                  1.3181496045535956E+001                  9.1703667988793652E+011                  1.1962386707048799E+001                  1.3181388633271483E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.9925221037459775E-002                  7.9838210941865995E+001                 -9.8999999999999986E+001                  1.4945464260620117E+007                  7.1745094103551477E+000                  2.1631164623485035E+000                  3.3507990251523234E-001                  0.0000000000000000E+000                 -9.8999999999999986E+001                  4.8812264421710752E+004                  1.1130279049718017E+014                  1.4046506052765393E+001                  5.0257525387455356E-010                  7.1354012911327260E+001                  1.7588121199115278E+004                  1.4316787906777734E+004                  3.2713332923375433E+003                  3.5147247934827304E+000                  1.8599674492248205E-001                 -1.9139889640345071E+001                  6.2345454377841369E-001                  2.5086390044327067E-001                  1.3640825923019317E+000                  8.3828269770895580E-001                  6.9092277372776177E+006                  6.8394295078399150E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.3696602894873467E-029                  0.0000000000000000E+000                  7.3696602894873467E-029                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.2966429887659361E+000                  1.1021529799335157E+000                  1.3826069774960583E+000                  8.5000496627254052E-001                  6.9999999999999474E-001                  2.8000000000000552E-001                  1.9999999999999796E-002                 -1.6989700043360232E+000                  6.9999999999999474E-001                  2.9797635259171001E-005                  2.7997020236474635E-001                  3.4468833607859684E-003                  1.0103427409335955E-003                  9.3805276451494508E-003                  2.0850244238750154E-003                  4.0772218292556318E-003                 -1.5490195998574641E-001                 -4.5258182001735170E+000                 -5.5288818879064494E-001                 -2.4625734124505056E+000                 -2.9955312744887670E+000                 -2.0277727323105017E+000                 -2.6808888533559214E+000                 -2.3896356592613981E+000                  8.0775747018503730E-001                 -9.2719016912746213E-002                 -9.2719016912746213E-002                  8.8665112531125837E+005                  5.9477527695985675E+000                 -1.6288632648666468E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.3941005076914974E+039                  3.3941005076914974E+039                  8.8665112531125837E+005                  3.9530724698703374E+001                 -1.1442880759332878E+016                  5.5551952551521530E+009                  0.0000000000000000E+000                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                  2.1094369615185019E-001                  2.1094369615185019E-001                 -3.9920204291420486E-002                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                                        0                  6.6666666666666663E-001                 -1.7609125905568127E-001                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                 -9.8999999999999986E+001                  1.3181496045535956E+001                  1.1199647036911495E+000                  1.3181496045535956E+001                  1.1199647036911495E+000                  0.0000000000000000E+000                  6.5552029432897795E-005                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.0779999234142648E-006                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.8673254204268630E-001 
                                       2                  7.9838210941846043E+001                  1.1199576256912260E+000                  4.6890210952231310E+000                 -9.2953803143394715E+000                  4.2475501142142642E+000                  6.9999999999999474E-001                  2.8000000000000552E-001                  1.9999999999999796E-002                  1.0000000000000000E+000                  7.9375543347862087E+022                 -1.2301029995663967E+001                  1.0000000000000000E+000                  9.9999999999949996E-001                  0.0000000000000000E+000                  1.3181281219256517E+001                  9.1702173442367590E+011                  1.1962379629048876E+001                  1.3181174645710639E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.9824034252027574E-002                  7.9838210941826077E+001                 -1.2301029995663967E+001                  1.4828763067626953E+007                  7.1711049261255972E+000                  2.1488212142524961E+000                  3.3220028292112080E-001                  2.1631164623485035E+000                 -9.8999999999999986E+001                  4.8867609549731184E+004                  1.1102931708799450E+014                  1.4045437668592333E+001                  5.0654692774329097E-010                  7.1218914881271218E+001                  1.7682762513245190E+004                  1.4381830010890541E+004                  3.3009325023546508E+003                  3.5186366439441805E+000                  1.8667515892282682E-001                 -1.9133712309860215E+001                  6.2345273324221862E-001                  2.5087126333016863E-001                  1.3642025527193602E+000                  8.3828735570174029E-001                  6.9008826650035605E+006                  6.8389046432044767E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.4279013694389980E-029                  0.0000000000000000E+000                  7.4279013694389980E-029                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.2966429887659361E+000                  1.1021529799335157E+000                  1.3826069774960583E+000                  8.5000496627254052E-001                  6.9999999999999474E-001                  2.8000000000000552E-001                  1.9999999999999796E-002                 -1.6989700043360232E+000                  6.9999999999999474E-001                  2.9797635259171001E-005                  2.7997020236474635E-001                  3.4468833607859684E-003                  1.0103427409335955E-003                  9.3805276451494508E-003                  2.0850244238750154E-003                  4.0772218292556318E-003                 -1.5490195998574641E-001                 -4.5258182001735170E+000                 -5.5288818879064494E-001                 -2.4625734124505056E+000                 -2.9955312744887670E+000                 -2.0277727323105017E+000                 -2.6808888533559214E+000                 -2.3896356592613981E+000                  8.0872860530053703E-001                 -9.2197195315912209E-002                 -9.2197195315912209E-002                  8.8665114022769325E+005                  5.9477527769048519E+000                 -1.6288631918038027E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.3941005647916098E+039                  3.3941005647916098E+039                  8.8665114022769325E+005                  3.9530724706009657E+001                 -1.1443341807160284E+016                  5.5480378052887354E+009                  0.0000000000000000E+000                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                  2.1115914012571652E-001                  2.1115914012571652E-001                 -3.9708441761003133E-002                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                                        0                  6.7273391113043990E-001                 -1.7215667987535221E-001                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                 -9.8999999999999986E+001                  1.3181281219256517E+001                  1.1199576256912260E+000                  1.3181281219256517E+001                  1.1199576256912260E+000                  0.0000000000000000E+000                  6.5553625729440106E-005                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.0228455904381925E-006                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.8686099791496169E-001 
                                       3                  7.9838210941806111E+001                  1.1199506028456356E+000                  4.6897728015367521E+000                 -9.2902314472103846E+000                  4.2510989213912129E+000                  6.9999999999999474E-001                  2.8000000000000552E-001                  1.9999999999999796E-002                  1.0000000000000000E+000                  1.6397463620064977E+023                 -1.1985940030806166E+001                  4.8407208082311659E-001                  9.9999999999899991E-001                  0.0000000000000000E+000                  1.3181068070441402E+001                  9.1700690566060828E+011                  1.1962372606203285E+001                  1.3180850495829953E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.9676298334244263E-002                  7.9838210941764885E+001                 -1.1999999999999986E+001                  3.0273831165527344E+007                  7.4810673845760851E+000                  4.3947501750362008E+000                  6.4293419210899405E-001                  4.3119376766009996E+000                 -9.8999999999999986E+001                  4.8952266162786276E+004                  1.1062766512738705E+014                  1.4043863746405776E+001                  5.1258813918190956E-010                  7.1018561758883862E+001                  1.7827847948703326E+004                  1.4481747683446009E+004                  3.3461002652573161E+003                  3.5245389503728104E+000                  1.8768952230718841E-001                 -1.9124444407134998E+001                  6.2344995501276890E-001                  2.5088234775537477E-001                  1.3643821103133176E+000                  8.3829450334577216E-001                  6.8886352943322808E+006                  6.8381331924670912E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.5164904136194856E-029                  0.0000000000000000E+000                  7.5164904136194856E-029                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.2966429887659361E+000                  1.1021529799335157E+000                  1.3826069774960583E+000                  8.5000496627254052E-001                  6.9999999999999474E-001                  2.8000000000000552E-001                  1.9999999999999796E-002                 -1.6989700043360232E+000                  6.9999999999999474E-001                  2.9797635259171001E-005                  2.7997020236474635E-001                  3.4468833607859684E-003                  1.0103427409335955E-003                  9.3805276451494508E-003                  2.0850244238750154E-003                  4.0772218292556318E-003                 -1.5490195998574641E-001                 -4.5258182001735170E+000                 -5.5288818879064494E-001                 -2.4625734124505056E+000                 -2.9955312744887670E+000                 -2.0277727323105017E+000                 -2.6808888533559214E+000                 -2.3896356592613981E+000                  8.1016536693128383E-001                 -9.1426326040256564E-002                 -9.1426326040256564E-002                  8.8665116957607085E+005                  5.9477527912801094E+000                 -1.6237051024142166E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.3941006771371993E+039                  3.3941006771371993E+039                  8.8665116957607085E+005                  3.9530724720384910E+001                 -1.1444027614607830E+016                  5.5342372559760418E+009                  0.0000000000000000E+000                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                  2.1158335094491054E-001                  2.1158335094491054E-001                 -3.9291527884022348E-002                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                                        0                  6.7880864723795309E-001                 -1.6825263390915468E-001                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                 -9.8999999999999986E+001                  1.3181068070441402E+001                  1.1199506028456356E+000                  1.3181068070441402E+001                  1.1199506028456356E+000                  0.0000000000000000E+000                  6.5405676243433512E-005                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.4337923491306726E-005                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.8738251495932212E-001 
                                       4                  7.9838210941723645E+001                  1.1199362649221443E+000                  4.6907792475395080E+000                 -9.2834346025120045E+000                  4.2558366539344075E+000                  6.9999999999999474E-001                  2.8000000000000552E-001                  1.9999999999999796E-002                  1.0000000000000000E+000                  1.6397463620064974E+023                 -1.1985940030806166E+001                  1.0000000000000002E+000                  9.9999999999796696E-001                  0.0000000000000000E+000                  1.3180632914035399E+001                  9.1697663182944275E+011                  1.1962358268279793E+001                  1.3180418703938741E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.9486019817454990E-002                  7.9838210941682405E+001                 -1.1691883124559196E+001                  2.9805677256347656E+007                  7.4742989944880236E+000                  4.3366845982310123E+000                  6.3715783759058175E-001                  8.7066878516372004E+000                 -9.8999999999999986E+001                  4.9065841043606248E+004                  1.1011196095013941E+014                  1.4041834496923636E+001                  5.2067340760866202E-010                  7.0758738993396832E+001                  1.8023397205600093E+004                  1.4616613405767952E+004                  3.4067837998321415E+003                  3.5323445733920114E+000                  1.8902006991077197E-001                 -1.9112258830931655E+001                  6.2344622737465172E-001                  2.5089701600085096E-001                  1.3646178799807358E+000                  8.3830409366570025E-001                  6.8729179125698376E+006                  6.8371411568974416E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.6350538065739826E-029                  0.0000000000000000E+000                  7.6350538065739826E-029                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.2966429887659361E+000                  1.1021529799335157E+000                  1.3826069774960583E+000                  8.5000496627254052E-001                  6.9999999999999474E-001                  2.8000000000000552E-001                  1.9999999999999796E-002                 -1.6989700043360232E+000                  6.9999999999999474E-001                  2.9797635259171001E-005                  2.7997020236474635E-001                  3.4468833607859684E-003                  1.0103427409335955E-003                  9.3805276451494508E-003                  2.0850244238750154E-003                  4.0772218292556318E-003                 -1.5490195998574641E-001                 -4.5258182001735170E+000                 -5.5288818879064494E-001                 -2.4625734124505056E+000                 -2.9955312744887670E+000                 -2.0277727323105017E+000                 -2.6808888533559214E+000                 -2.3896356592613981E+000                  8.1202969014259430E-001                 -9.0428091412313560E-002                 -9.0428091412313560E-002                  8.8665122817654745E+005                  5.9477528199834637E+000                 -1.6134897099378506E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.3941009014598238E+039                  3.3941009014598238E+039                  8.8665122817654745E+005                  3.9530724749088265E+001                 -1.1444921850292182E+016                  5.5070380638048725E+009                  0.0000000000000000E+000                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                  2.1243401232726983E-001                  2.1243401232726983E-001                 -3.8455669550843063E-002                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                                        0                  6.9138079889187143E-001                 -1.6028268590310077E-001                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                 -9.8999999999999986E+001                  1.3180632914035399E+001                  1.1199362649221443E+000                  1.3180632914035399E+001                  1.1199362649221443E+000                  0.0000000000000000E+000                  6.5304295533370207E-005                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.4116664582309933E-005                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.8901566064964404E-001 
