                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49 
                            model_number                                num_zones                             initial_mass                                initial_z                                 star_age                                time_step                                     Teff                            photosphere_L                            photosphere_r                               center_eta                                center_h1                               center_he3                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                                star_mass                                star_mdot                             star_mass_h1                            star_mass_he3                            star_mass_he4                            star_mass_c12                            star_mass_n14                            star_mass_o16                           star_mass_ne20                             he_core_mass                             co_core_mass                             fe_core_mass                   neutron_rich_core_mass                             dynamic_time                             kh_timescale                            nuc_timescale                           power_nuc_burn                             power_h_burn                            power_he_burn                                power_neu                                burn_min1                                burn_min2                             time_seconds                           version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                     msun                                     rsun                                     lsun 
                                     650                                      752                  8.0000000000000000E+001                  2.0000000000000000E-002                  1.3367929171191970E+003                  2.6178751703170244E-001                  7.5747116004100990E+003                  1.2284013616540728E+006                  6.4356304983930795E+002                 -1.0173960648845636E+001                  6.9999999999999696E-001                  2.9797635256165257E-005                  2.7997020236474734E-001                  3.4468833607860776E-003                  1.0103427409336007E-003                  9.3805276451494942E-003                  2.0850244238750236E-003                  8.0000000000000000E+001                  0.0000000000000000E+000                  5.5999999999999936E+001                  2.3838108201249581E-003                  2.2397616189179889E+001                  2.7575066886288951E-001                  8.0827419274688450E-002                  7.5044221161196312E-001                  1.6680195391000294E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.8268324383000437E+007                  1.9064678764029048E+002                  6.5125294140245847E+005                  1.6064301311068500E-005                  1.6064301311068493E-005                  0.0000000000000000E+000                  6.4267874488153967E-007                  5.0000000000000000E+001                  1.0000000000000000E+003                  4.2185976161280769E+010                                "r26.4.1"                               "gfortran"                                 "15.2.0"                    "x86_64-linux-26.3.2"                                 "CRMATH"                               "20260528"                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61                                       62                                       63                                       64                                       65                                       66                                       67                                       68                                       69                                       70                                       71                                       72                                       73                                       74                                       75                                       76                                       77                                       78                                       79                                       80                                       81                                       82                                       83                                       84                                       85                                       86                                       87                                       88                                       89                                       90                                       91                                       92                                       93                                       94                                       95                                       96                                       97                                       98                                       99                                      100                                      101                                      102                                      103                                      104                                      105                                      106                                      107                                      108                                      109                                      110                                      111                                      112                                      113                                      114                                      115                                      116                                      117                                      118                                      119                                      120                                      121                                      122                                      123                                      124                                      125                                      126                                      127                                      128                                      129                                      130                                      131                                      132                                      133                                      134                                      135                                      136                                      137                                      138                                      139                                      140                                      141                                      142                                      143                                      144                                      145                                      146                                      147                                      148                                      149                                      150                                      151                                      152                                      153                                      154                                      155                                      156                                      157                                      158                                      159                                      160                                      161                                      162                                      163                                      164                                      165                                      166                                      167                                      168                                      169                                      170                                      171                                      172                                      173                                      174                                      175                                      176                                      177                                      178                                      179                                      180                                      181                                      182                                      183                                      184                                      185                                      186                                      187                                      188 
                                    zone                                     mass                                     logR                                     logT                                   logRho                                     logP                        x_mass_fraction_H                       y_mass_fraction_He                   z_mass_fraction_metals                     extra_opacity_factor                                       dm                                    logdq                                 dq_ratio                                        q                             vel_km_per_s                                   radius                                radius_cm                                  logR_cm                                     rmid                                 velocity                                  v_div_r                    pressure_scale_height                                     mmid                                    logxq                                       dr                                   log_dr                                dr_div_cs                            log_dr_div_cs                           acoustic_depth                   log_cell_collapse_time                              temperature                                   energy                                     logE                                      rho                                  entropy                                 pressure                                     prad                                     pgas                                  logPgas                          pgas_div_ptotal                                      eta                                       mu                                    grada                                   gamma1                                   free_e                                   csound                               log_csound                             v_div_csound                                 eps_grav                                  eps_nuc                              non_nuc_neu                                       pp                                      cno                                tri_alpha                                  c_alpha                                  n_alpha                                  o_alpha                                 ne_alpha                                 na_alpha                                 mg_alpha                                 si_alpha                                  s_alpha                                 ar_alpha                                 ca_alpha                                 ti_alpha                                 cr_alpha                                 fe_co_ni                                  c12_c12                                  c12_o16                                  o16_o16                                    pnhe4                                    photo                                ni56_co56                                co56_fe56                                    other                                     abar                                     zbar                                    z2bar                                       ye                                        x                                        y                                        z                                    log_z                                       h1                                      he3                                      he4                                      c12                                      n14                                      o16                                     ne20                                     mg24                                   log_h1                                  log_he3                                  log_he4                                  log_c12                                  log_n14                                  log_o16                                 log_ne20                                 log_mg24                                  opacity                              log_opacity                     log_kap_times_factor                               luminosity                                     logL                           log_L_div_Ledd                                  lum_adv                                 lum_conv                                lum_erg_s                         lum_plus_lum_adv                                  lum_rad                        log_abs_lum_erg_s                             total_energy                        mlt_mixing_length                                 conv_vel                             log_conv_vel                             conv_L_div_L                         log_conv_L_div_L                                    gradT                                    gradr                          gradT_sub_grada                      conv_vel_div_csound                            log_mlt_D_mix                                log_D_mix                               log_D_conv                               log_D_semi                                log_D_ovr                               log_D_thrm                            log_D_minimum                    log_D_rayleigh_taylor                              log_D_omega                              log_sig_mix                                 mix_type                                      tau                                   logtau                                    omega                                log_omega                                log_j_rot                            log_J_div_M53                             log_J_inside                            log_abs_shear                                    i_rot                                    j_rot                                    v_rot                                   fp_rot                                   ft_rot                                log_am_nu                                  r_polar                              log_r_polar                             r_equatorial                         log_r_equatorial                              r_e_div_r_p                               omega_crit                     omega_div_omega_crit                               am_log_sig                             am_log_D_DSI                              am_log_D_SH                             am_log_D_SSI                              am_log_D_ES                             am_log_D_GSF                              am_log_D_ST                             am_log_nu_ST                           dynamo_log_B_r                         dynamo_log_B_phi                    RTI_du_diffusion_kick                                alpha_RTI                        boost_for_eta_RTI                                 dedt_RTI                                 dudt_RTI                                  eta_RTI                            log_alpha_RTI                              log_eta_RTI                  log_lambda_RTI_div_Hrho                              log_sig_RTI               log_source_minus_alpha_RTI                log_source_plus_alpha_RTI                               lambda_RTI                           v_div_v_escape                                        u                                   u_face                                   P_face                               extra_heat                                      zFe                         dPdr_dRhodr_info                                    dlogR                                dPdr_info                              dRhodr_info                       log_du_kick_div_du                     L_div_Ledd_effective 
                                       1                  8.0000000000000000E+001                  2.8085911011330800E+000                  3.8793662123229913E+000                 -1.1242052119512341E+001                  1.0931356701257842E+000                  7.0000000000000018E-001                  2.8000000000000003E-001                  1.9999999999999796E-002                  1.0000000000000000E+000                  1.5907278965584403E+023                 -1.2000000000000000E+001                  1.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000                  6.4356304983930795E+002                  4.4772681377320656E+013                  1.3651013104490730E+001                  6.4356304191502556E+002                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.8720585093500981E+000                  7.9999999999959996E+001                 -9.8999999999999986E+001                  1.1025844843750000E+006                  6.0424118767721886E+000                  8.1219540685674352E-001                 -9.0339470869635299E-002                  0.0000000000000000E+000                 -9.8999999999999986E+001                  7.5747135218118592E+003                  1.1749675935353582E+013                  1.3070025888613838E+001                  5.7272729408092610E-012                  4.5224701032062960E+001                  1.2391836371376305E+001                  8.3022273039448802E+000                  4.0896090674314252E+000                  6.1168179505579179E-001                  3.3002445681722720E-001                 -2.1642450873272523E+001                  8.8194957180069156E-001                  1.7289755242694474E-001                  8.5175541968253043E-001                  3.6816746184594107E-001                  1.3575359760307975E+006                  6.1327513476418245E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  8.3980299650307616E-031                  0.0000000000000000E+000                  8.3980299650307599E-031                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.2966429887659308E+000                  1.1021529799335130E+000                  1.3826069774960510E+000                  8.5000496627254196E-001                  7.0000000000000018E-001                  2.8000000000000003E-001                  1.9999999999999796E-002                 -1.6989700043360232E+000                  7.0000000000000018E-001                  2.9797635251138374E-005                  2.7997020236474890E-001                  3.4468833607861249E-003                  1.0103427409336072E-003                  9.3805276451495445E-003                  2.0850244238750366E-003                  4.0772218292556778E-003                 -1.5490195998574305E-001                 -4.5258182002905905E+000                 -5.5288818879064094E-001                 -2.4625734124504857E+000                 -2.9955312744887617E+000                 -2.0277727323104973E+000                 -2.6808888533559170E+000                 -2.3896356592613932E+000                  4.2846910355967882E-001                 -3.6808048911374575E-001                 -3.6808048911374575E-001                  1.2284013616540728E+006                  6.0893402891765360E+000                 -2.9779946963772519E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.7023204124117910E+039                  4.7023204124117910E+039                  1.2284013616540728E+006                  3.9672312218281341E+001                 -2.2538142732041897E+014                  8.1703822099097266E+011                  0.0000000000000000E+000                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                  1.8796510181035508E-001                  1.8796656301995188E-001                  1.5067549383410345E-002                  0.0000000000000000E+000                  1.1646106286038343E+001                  1.1628162571713224E+001                  1.1628145709515611E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                                        1                  6.6666666666666663E-001                 -1.7609125905568127E-001                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                 -9.8999999999999986E+001                  6.4356304983930795E+002                  2.8085911011330800E+000                  6.4356304983930795E+002                  2.8085911011330800E+000                  0.0000000000000000E+000                  2.4229278601026024E-007                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0695056604296890E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.0365263270114158E-001 
                                       2                  7.9999999999920007E+001                  2.8085910904380236E+000                  3.8793664676334294E+000                 -1.1242050785689715E+001                  1.0931370284083892E+000                  7.0000000000000018E-001                  2.8000000000000003E-001                  1.9999999999999796E-002                  1.0000000000000000E+000                  2.0959295911783633E+023                 -1.1880219208104055E+001                  7.5896056015131175E-001                  9.9999999999900002E-001                  0.0000000000000000E+000                  6.4356303399074557E+002                  4.4772680274736172E+013                  1.3651013093795672E+001                  6.4356302354980539E+002                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.8720585508633460E+000                  7.9999999999867299E+001                 -1.2000000000000000E+001                  1.4527519296875000E+006                  6.1621914609836903E+000                  1.0701386322427888E+000                  2.9440042468466390E-002                  8.1219540685674352E-001                 -9.8999999999999986E+001                  7.5747179747903738E+003                  1.1749690092908207E+013                  1.3070026411908623E+001                  5.7272905306665788E-012                  4.5224712950511325E+001                  1.2391875127664512E+001                  8.3022468266224312E+000                  4.0896283010420804E+000                  6.1168383755696842E-001                  3.3002497676175740E-001                 -2.1642445465883668E+001                  8.8194865043060666E-001                  1.7289747485403481E-001                  8.5175564971008944E-001                  3.6816864659644971E-001                  1.3575361975698727E+006                  6.1327514185152241E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  8.3980557574964953E-031                  0.0000000000000000E+000                  8.3980557574964953E-031                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.2966429887659308E+000                  1.1021529799335130E+000                  1.3826069774960510E+000                  8.5000496627254196E-001                  7.0000000000000018E-001                  2.8000000000000003E-001                  1.9999999999999796E-002                 -1.6989700043360232E+000                  7.0000000000000018E-001                  2.9797635251138374E-005                  2.7997020236474890E-001                  3.4468833607861249E-003                  1.0103427409336072E-003                  9.3805276451495445E-003                  2.0850244238750366E-003                  4.0772218292556778E-003                 -1.5490195998574305E-001                 -4.5258182002905905E+000                 -5.5288818879064094E-001                 -2.4625734124504857E+000                 -2.9955312744887617E+000                 -2.0277727323104973E+000                 -2.6808888533559170E+000                 -2.3896356592613932E+000                  4.2847136526897039E-001                 -3.6807819666076741E-001                 -3.6807819666076741E-001                  1.2284013616527526E+006                  6.0893402891760688E+000                 -2.9779946963819182E-001                  0.0000000000000000E+000                  9.5554907578231365E+000                  4.7023204124067377E+039                  4.7023204124067377E+039                  1.2283918061619948E+006                  3.9672312218280872E+001                 -2.2538141992954828E+014                  8.1703820060593970E+011                  1.6360109871574515E+000                  2.1378621598923458E-001                  7.7788018282287652E-006                 -5.1090872924013313E+000                  1.8796559191955037E-001                  1.8796705407801428E-001                  1.5068072963952572E-002                  1.2051326085235547E-006                  1.1646123319010423E+001                  1.1628162571713224E+001                  1.1628162571713224E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                  0.0000000000000000E+000                  2.2758398215708457E+001                                        1                  6.6666937236482426E-001                 -1.7608949645458874E-001                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                 -9.8999999999999986E+001                  6.4356303399074557E+002                  2.8085910904380236E+000                  6.4356303399074557E+002                  2.8085910904380236E+000                  0.0000000000000000E+000                  2.4229279638152520E-007                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.4091677152720577E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.0365355508093190E-001 
                                       3                  7.9999999999814605E+001                  2.8085910763463464E+000                  3.8793667579313853E+000                 -1.1242049269117739E+001                  1.0931385728185041E+000                  7.0000000000000018E-001                  2.8000000000000003E-001                  1.9999999999999796E-002                  1.0000000000000000E+000                  2.0959295911783633E+023                 -1.1880219208104055E+001                  1.0000000000000000E+000                  9.9999999999768241E-001                  0.0000000000000000E+000                  6.4356301310887227E+002                  4.4772678821984242E+013                  1.3651013079703995E+001                  6.4356300266796904E+002                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.8720585462034682E+000                  7.9999999999761883E+001                 -1.1634963106395702E+001                  1.4527469453125000E+006                  6.1621899709218102E+000                  1.0701347620021193E+000                  2.9438471805418458E-002                  1.8823340390995322E+000                 -9.8999999999999986E+001                  7.5747230380043247E+003                  1.1749706191111416E+013                  1.3070027006933341E+001                  5.7273105306063419E-012                  4.5224726503343497E+001                  1.2391919194932500E+001                  8.3022690247263053E+000                  4.0896501702061947E+000                  6.1168615992741515E-001                  3.3002556794258303E-001                 -2.1642439317540752E+001                  8.8194760279145712E-001                  1.7289738665643639E-001                  8.5175591126930639E-001                  3.6816999371404457E-001                  1.3575364495164610E+006                  6.1327514991163916E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  8.3980850839288685E-031                  0.0000000000000000E+000                  8.3980850839288667E-031                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.2966429887659308E+000                  1.1021529799335130E+000                  1.3826069774960510E+000                  8.5000496627254196E-001                  7.0000000000000018E-001                  2.8000000000000003E-001                  1.9999999999999796E-002                 -1.6989700043360232E+000                  7.0000000000000018E-001                  2.9797635251138374E-005                  2.7997020236474890E-001                  3.4468833607861249E-003                  1.0103427409336072E-003                  9.3805276451495445E-003                  2.0850244238750366E-003                  4.0772218292556778E-003                 -1.5490195998574305E-001                 -4.5258182002905905E+000                 -5.5288818879064094E-001                 -2.4625734124504857E+000                 -2.9955312744887617E+000                 -2.0277727323104973E+000                 -2.6808888533559170E+000                 -2.3896356592613932E+000                  4.2847393692906371E-001                 -3.6807559005849072E-001                 -3.6807559005849072E-001                  1.2284013616581291E+006                  6.0893402891779695E+000                 -2.9779686303647146E-001                  0.0000000000000000E+000                  9.5717763629551254E+000                  4.7023204124273190E+039                  4.7023204124273190E+039                  1.2283917898817663E+006                  3.9672312218282769E+001                 -2.2538141152528056E+014                  8.1703819993285022E+011                  1.6361784420768395E+000                  2.1383066619549190E-001                  7.7920593885005829E-006                 -5.1083477460678646E+000                  1.8796688344929949E-001                  1.8796834810983112E-001                  1.5069452694063873E-002                  1.2052557369562071E-006                  1.1646168238519829E+001                  1.1628207031581104E+001                  1.1628207031581104E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                  0.0000000000000000E+000                  2.2702671633952981E+001                                        1                  6.6667293738880096E-001                 -1.7608717406486241E-001                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                 -9.8999999999999986E+001                  6.4356301310887227E+002                  2.8085910763463464E+000                  6.4356301310887227E+002                  2.8085910763463464E+000                  0.0000000000000000E+000                  2.4229208681064529E-007                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.4091629322078237E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.0365657131009700E-001 
                                       4                  7.9999999999709189E+001                  2.8085910622547172E+000                  3.8793671494260598E+000                 -1.1242047223929335E+001                  1.0931406555885117E+000                  7.0000000000000018E-001                  2.8000000000000003E-001                  1.9999999999999796E-002                  1.0000000000000000E+000                  3.5571762779858124E+023                 -1.1650490509912244E+001                  5.8921161825726154E-001                  9.9999999999636480E-001                  0.0000000000000000E+000                  6.4356299222707048E+002                  4.4772677369237297E+013                  1.3651013065612366E+001                  6.4356297450703141E+002                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.8720586732854292E+000                  7.9999999999619746E+001                 -1.1439473715899998E+001                  2.4655659062500000E+006                  6.3919166160085643E+000                  1.8162055905729921E+000                  2.5916500817055704E-001                  2.9524688011016513E+000                 -9.8999999999999986E+001                  7.5747298662399853E+003                  1.1749727901846730E+013                  1.3070027809408201E+001                  5.7273375018370408E-012                  4.5224744782267337E+001                  1.2391978623685569E+001                  8.3022989610953530E+000                  4.0896796625902159E+000                  6.1168929181716669E-001                  3.3002636518217954E-001                 -2.1642431026016403E+001                  8.8194618994195750E-001                  1.7289726772245839E-001                  8.5175626402128068E-001                  3.6817181044632097E-001                  1.3575367893632252E+006                  6.1327516078380073E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  8.3981246325466354E-031                  0.0000000000000000E+000                  8.3981246325466336E-031                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.2966429887659308E+000                  1.1021529799335130E+000                  1.3826069774960510E+000                  8.5000496627254196E-001                  7.0000000000000018E-001                  2.8000000000000003E-001                  1.9999999999999796E-002                 -1.6989700043360232E+000                  7.0000000000000018E-001                  2.9797635251138374E-005                  2.7997020236474890E-001                  3.4468833607861249E-003                  1.0103427409336072E-003                  9.3805276451495445E-003                  2.0850244238750366E-003                  4.0772218292556778E-003                 -1.5490195998574305E-001                 -4.5258182002905905E+000                 -5.5288818879064094E-001                 -2.4625734124504857E+000                 -2.9955312744887617E+000                 -2.0277727323104973E+000                 -2.6808888533559170E+000                 -2.3896356592613932E+000                  4.2847740507381427E-001                 -3.6807207481543364E-001                 -3.6807207481543364E-001                  1.2284013616635057E+006                  6.0893402891798711E+000                 -2.9779425643139612E-001                  0.0000000000000000E+000                  9.5880771942264964E+000                  4.7023204124478998E+039                  4.7023204124478998E+039                  1.2283917735863114E+006                  3.9672312218284674E+001                 -2.2538140019047391E+014                  8.1703819931211584E+011                  1.6363458379925071E+000                  2.1387509619283296E-001                  7.8053293438573590E-006                 -5.1076087672713575E+000                  1.8796817498272980E-001                  1.8796964214769341E-001                  1.5070832421919728E-002                  1.2053788218333778E-006                  1.1646213175096806E+001                  1.1628251502399994E+001                  1.1628251502399994E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                  0.0000000000000000E+000                  2.2572838433004680E+001                                        1                  6.6667650243440613E-001                 -1.7608485167346546E-001                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                 -9.8999999999999986E+001                  6.4356299222707048E+002                  2.8085910622547172E+000                  6.4356299222707048E+002                  2.8085910622547172E+000                  0.0000000000000000E+000                  2.4229132279389662E-007                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.3915963026883259E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.0365943263626056E-001 
