                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49 
                            model_number                                num_zones                             initial_mass                                initial_z                                 star_age                                time_step                                     Teff                            photosphere_L                            photosphere_r                               center_eta                                center_h1                               center_he3                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                                star_mass                                star_mdot                             star_mass_h1                            star_mass_he3                            star_mass_he4                            star_mass_c12                            star_mass_n14                            star_mass_o16                           star_mass_ne20                             he_core_mass                             co_core_mass                             fe_core_mass                   neutron_rich_core_mass                             dynamic_time                             kh_timescale                            nuc_timescale                           power_nuc_burn                             power_h_burn                            power_he_burn                                power_neu                                burn_min1                                burn_min2                             time_seconds                           version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                     msun                                     rsun                                     lsun 
                                     800                                      716                  8.0000000000000000E+001                  2.0000000000000000E-002                  1.5991233629347928E+003                  8.7428846096017061E+000                  1.5530858512767334E+004                  7.1769659235234745E+005                  1.1701261267036520E+002                 -9.8601630491615744E+000                  6.9999999999994500E-001                  2.9797635308609349E-005                  2.7997020236474662E-001                  3.4468833607860651E-003                  1.0103427409335981E-003                  9.3805276451494717E-003                  2.0850244238750188E-003                  8.0000000000000000E+001                  0.0000000000000000E+000                  5.5999999999999616E+001                  2.3838108205135110E-003                  2.2397616189179885E+001                  2.7575066886288829E-001                  8.0827419274688395E-002                  7.5044221161196278E-001                  1.6680195391000285E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.4163189877967446E+006                  1.7946812337081392E+003                  1.1146771609683863E+006                  1.0676177253453084E-004                  1.0676177253453086E-004                  0.0000000000000000E+000                  4.2711708737848815E-006                  5.0000000000000000E+001                  1.0000000000000000E+003                  5.0464495438151016E+010                                "r26.4.1"                               "gfortran"                                 "15.2.0"                    "x86_64-linux-26.3.2"                                 "CRMATH"                               "20260608"                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61                                       62                                       63                                       64                                       65                                       66                                       67                                       68                                       69                                       70                                       71                                       72                                       73                                       74                                       75                                       76                                       77                                       78                                       79                                       80                                       81                                       82                                       83                                       84                                       85                                       86                                       87                                       88                                       89                                       90                                       91                                       92                                       93                                       94                                       95                                       96                                       97                                       98                                       99                                      100                                      101                                      102                                      103                                      104                                      105                                      106                                      107                                      108                                      109                                      110                                      111                                      112                                      113                                      114                                      115                                      116                                      117                                      118                                      119                                      120                                      121                                      122                                      123                                      124                                      125                                      126                                      127                                      128                                      129                                      130                                      131                                      132                                      133                                      134                                      135                                      136                                      137                                      138                                      139                                      140                                      141                                      142                                      143                                      144                                      145                                      146                                      147                                      148                                      149                                      150                                      151                                      152                                      153                                      154                                      155                                      156                                      157                                      158                                      159                                      160                                      161                                      162                                      163                                      164                                      165                                      166                                      167                                      168                                      169                                      170                                      171                                      172                                      173                                      174                                      175                                      176                                      177                                      178                                      179                                      180                                      181                                      182                                      183                                      184                                      185                                      186                                      187                                      188 
                                    zone                                     mass                                     logR                                     logT                                   logRho                                     logP                        x_mass_fraction_H                       y_mass_fraction_He                   z_mass_fraction_metals                     extra_opacity_factor                                       dm                                    logdq                                 dq_ratio                                        q                             vel_km_per_s                                   radius                                radius_cm                                  logR_cm                                     rmid                                 velocity                                  v_div_r                    pressure_scale_height                                     mmid                                    logxq                                       dr                                   log_dr                                dr_div_cs                            log_dr_div_cs                           acoustic_depth                   log_cell_collapse_time                              temperature                                   energy                                     logE                                      rho                                  entropy                                 pressure                                     prad                                     pgas                                  logPgas                          pgas_div_ptotal                                      eta                                       mu                                    grada                                   gamma1                                   free_e                                   csound                               log_csound                             v_div_csound                                 eps_grav                                  eps_nuc                              non_nuc_neu                                       pp                                      cno                                tri_alpha                                  c_alpha                                  n_alpha                                  o_alpha                                 ne_alpha                                 na_alpha                                 mg_alpha                                 si_alpha                                  s_alpha                                 ar_alpha                                 ca_alpha                                 ti_alpha                                 cr_alpha                                 fe_co_ni                                  c12_c12                                  c12_o16                                  o16_o16                                    pnhe4                                    photo                                ni56_co56                                co56_fe56                                    other                                     abar                                     zbar                                    z2bar                                       ye                                        x                                        y                                        z                                    log_z                                       h1                                      he3                                      he4                                      c12                                      n14                                      o16                                     ne20                                     mg24                                   log_h1                                  log_he3                                  log_he4                                  log_c12                                  log_n14                                  log_o16                                 log_ne20                                 log_mg24                                  opacity                              log_opacity                     log_kap_times_factor                               luminosity                                     logL                           log_L_div_Ledd                                  lum_adv                                 lum_conv                                lum_erg_s                         lum_plus_lum_adv                                  lum_rad                        log_abs_lum_erg_s                             total_energy                        mlt_mixing_length                                 conv_vel                             log_conv_vel                             conv_L_div_L                         log_conv_L_div_L                                    gradT                                    gradr                          gradT_sub_grada                      conv_vel_div_csound                            log_mlt_D_mix                                log_D_mix                               log_D_conv                               log_D_semi                                log_D_ovr                               log_D_thrm                            log_D_minimum                    log_D_rayleigh_taylor                              log_D_omega                              log_sig_mix                                 mix_type                                      tau                                   logtau                                    omega                                log_omega                                log_j_rot                            log_J_div_M53                             log_J_inside                            log_abs_shear                                    i_rot                                    j_rot                                    v_rot                                   fp_rot                                   ft_rot                                log_am_nu                                  r_polar                              log_r_polar                             r_equatorial                         log_r_equatorial                              r_e_div_r_p                               omega_crit                     omega_div_omega_crit                               am_log_sig                             am_log_D_DSI                              am_log_D_SH                             am_log_D_SSI                              am_log_D_ES                             am_log_D_GSF                              am_log_D_ST                             am_log_nu_ST                           dynamo_log_B_r                         dynamo_log_B_phi                    RTI_du_diffusion_kick                                alpha_RTI                        boost_for_eta_RTI                                 dedt_RTI                                 dudt_RTI                                  eta_RTI                            log_alpha_RTI                              log_eta_RTI                  log_lambda_RTI_div_Hrho                              log_sig_RTI               log_source_minus_alpha_RTI                log_source_plus_alpha_RTI                               lambda_RTI                           v_div_v_escape                                        u                                   u_face                                   P_face                               extra_heat                                      zFe                         dPdr_dRhodr_info                                    dlogR                                dPdr_info                              dRhodr_info                       log_du_kick_div_du                     L_div_Ledd_effective 
                                       1                  8.0000000000000000E+001                  2.0682326764292203E+000                  4.1912014515508806E+000                 -1.0479436295293308E+001                  2.3265196435776501E+000                  7.0000000000000018E-001                  2.8000000000000003E-001                  1.9999999999999796E-002                  1.0000000000000000E+000                  1.5907278965584403E+023                 -1.2000000000000000E+001                  1.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000                  1.1701261267036520E+002                  8.1405674634773066E+012                  1.2910654679786870E+001                  1.1701257126456969E+002                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.7390720108146265E-001                  7.9999999999959996E+001                 -9.8999999999999986E+001                  5.7612043164062500E+006                  6.7605132773987791E+000                  1.9570911643756759E+000                  2.9161105624724737E-001                  0.0000000000000000E+000                 -9.8999999999999986E+001                  1.5531072662047463E+004                  2.8407317089134172E+013                  1.3453430218995560E+001                  3.3156120146824159E-011                  5.6974854261003074E+001                  2.1208973212465878E+002                  1.4673562848325088E+002                  6.5354103641407903E+001                  1.8152728625036390E+000                  3.0814364743973127E-001                 -2.0237551597918426E+001                  6.5506057308971666E-001                  2.4987116778811999E-001                  1.3547167590049571E+000                  7.6089290597592318E-001                  2.9437587892049523E+006                  6.4689022211515317E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.8617886265574737E-030                  0.0000000000000000E+000                  4.8617886265574744E-030                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.2966429887659308E+000                  1.1021529799335130E+000                  1.3826069774960505E+000                  8.5000496627254196E-001                  7.0000000000000018E-001                  2.8000000000000003E-001                  1.9999999999999796E-002                 -1.6989700043360232E+000                  7.0000000000000018E-001                  2.9797635251138113E-005                  2.7997020236474890E-001                  3.4468833607860920E-003                  1.0103427409336072E-003                  9.3805276451495445E-003                  2.0850244238750366E-003                  4.0772218292556778E-003                 -1.5490195998574305E-001                 -4.5258182002905940E+000                 -5.5288818879064094E-001                 -2.4625734124504901E+000                 -2.9955312744887617E+000                 -2.0277727323104973E+000                 -2.6808888533559170E+000                 -2.3896356592613932E+000                  7.7000076380310145E-001                 -1.1350884402841721E-001                 -1.1350884402841721E-001                  7.1769659235234745E+005                  5.8559408841923473E+000                 -2.7661875330361418E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.7473425555247861E+039                  2.7473425555247861E+039                  7.1769659235234745E+005                  3.9438912813297151E+001                 -1.2758013888193480E+015                  7.9853447958474716E+010                  0.0000000000000000E+000                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                  1.9111547626262587E-001                  1.9111547626262587E-001                 -5.8755691525494119E-002                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                                        0                  6.6666666666666663E-001                 -1.7609125905568127E-001                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                 -9.8999999999999986E+001                  1.1701261267036520E+002                  2.0682326764292203E+000                  1.1701261267036520E+002                  2.0682326764292203E+000                  0.0000000000000000E+000                  3.0448763500666833E-006                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.0735696745061367E-007                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.2881860315556961E-001 
                                       2                  7.9999999999920007E+001                  2.0682323690722528E+000                  4.1912153293996148E+000                 -1.0479339721678278E+001                  2.3265922550802531E+000                  7.0000000000000018E-001                  2.8000000000000003E-001                  1.9999999999999796E-002                  1.0000000000000000E+000                  2.0959295911783633E+023                 -1.1880219208104055E+001                  7.5896056015131175E-001                  9.9999999999900002E-001                  0.0000000000000000E+000                  1.1701252985874645E+002                  8.1405617022729902E+012                  1.2910654372429901E+001                  1.1701247531486884E+002                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.7387472445816357E-001                  7.9999999999867299E+001                 -1.2000000000000000E+001                  7.5892385966796875E+006                  6.8801982067455931E+000                  2.5781346836396013E+000                  4.1130560147107426E-001                  1.9570911643756759E+000                 -9.8999999999999986E+001                  1.5531568964279813E+004                  2.8406206281182699E+013                  1.3453413236497902E+001                  3.3163493858801173E-011                  5.6972892589811629E+001                  2.1212519525453422E+002                  1.4675438538752488E+002                  6.5370809867009356E+001                  1.8153838653941656E+000                  3.0817088836886780E-001                 -2.0237374596323011E+001                  6.5505973555292496E-001                  2.4987244194643723E-001                  1.3547315147317047E+000                  7.6089485780384192E-001                  2.9436936110590687E+006                  6.4688926052745188E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.8628698637074573E-030                  0.0000000000000000E+000                  4.8628698637074573E-030                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.2966429887659308E+000                  1.1021529799335130E+000                  1.3826069774960505E+000                  8.5000496627254196E-001                  7.0000000000000018E-001                  2.8000000000000003E-001                  1.9999999999999796E-002                 -1.6989700043360232E+000                  7.0000000000000018E-001                  2.9797635251138113E-005                  2.7997020236474890E-001                  3.4468833607860920E-003                  1.0103427409336072E-003                  9.3805276451495445E-003                  2.0850244238750366E-003                  4.0772218292556778E-003                 -1.5490195998574305E-001                 -4.5258182002905940E+000                 -5.5288818879064094E-001                 -2.4625734124504901E+000                 -2.9955312744887617E+000                 -2.0277727323104973E+000                 -2.6808888533559170E+000                 -2.3896356592613932E+000                  7.7003965818501641E-001                 -1.1348690744129246E-001                 -1.1348690744129246E-001                  7.1769659235174186E+005                  5.8559408841919813E+000                 -2.7661875330398056E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.7473425555224680E+039                  2.7473425555224680E+039                  7.1769659235174186E+005                  3.9438912813296781E+001                 -1.2758035690712750E+015                  7.9851433678740341E+010                  0.0000000000000000E+000                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                  1.9112288923534212E-001                  1.9112288923534212E-001                 -5.8748828329692721E-002                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                                        0                  6.6681375158276068E-001                 -1.7599545237293485E-001                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                 -9.8999999999999986E+001                  1.1701252985874645E+002                  2.0682323690722528E+000                  1.1701252985874645E+002                  2.0682323690722528E+000                  0.0000000000000000E+000                  3.0448800952431948E-006                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.0488188670777747E-007                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.2881829259082747E-001 
                                       3                  7.9999999999814605E+001                  2.0682319641903661E+000                  4.1912311077077495E+000                 -1.0479229953758876E+001                  2.3266748024724784E+000                  7.0000000000000018E-001                  2.8000000000000003E-001                  1.9999999999999796E-002                  1.0000000000000000E+000                  2.0959295911783633E+023                 -1.1880219208104055E+001                  1.0000000000000000E+000                  9.9999999999768241E-001                  0.0000000000000000E+000                  1.1701242077094140E+002                  8.1405541130343936E+012                  1.2910653967548015E+001                  1.1701236624074623E+002                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.7383768655706069E-001                  7.9999999999761883E+001                 -1.1634963106395702E+001                  7.5873348232421875E+006                  6.8800892495679538E+000                  2.5775527729526764E+000                  4.1120756581492057E-001                  4.5352258480152772E+000                 -9.8999999999999986E+001                  1.5532133250364153E+004                  2.8404944426954270E+013                  1.3453393943935732E+001                  3.3171876990415269E-011                  5.6970663611844515E+001                  2.1216551823041527E+002                  1.4677571381114868E+002                  6.5389804419266611E+001                  1.8155100383910514E+000                  3.0820184620317143E-001                 -2.0237173427217602E+001                  6.5505878358446434E-001                  2.4987389069500973E-001                  1.3547482892769249E+000                  7.6089707631377024E-001                  2.9436195847701817E+006                  6.4688816837530334E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.8640991161356267E-030                  0.0000000000000000E+000                  4.8640991161356267E-030                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.2966429887659308E+000                  1.1021529799335130E+000                  1.3826069774960505E+000                  8.5000496627254196E-001                  7.0000000000000018E-001                  2.8000000000000003E-001                  1.9999999999999796E-002                 -1.6989700043360232E+000                  7.0000000000000018E-001                  2.9797635251138113E-005                  2.7997020236474890E-001                  3.4468833607860920E-003                  1.0103427409336072E-003                  9.3805276451495445E-003                  2.0850244238750366E-003                  4.0772218292556778E-003                 -1.5490195998574305E-001                 -4.5258182002905940E+000                 -5.5288818879064094E-001                 -2.4625734124504901E+000                 -2.9955312744887617E+000                 -2.0277727323104973E+000                 -2.6808888533559170E+000                 -2.3896356592613932E+000                  7.7008385822377479E-001                 -1.1346197978746024E-001                 -1.1346197978746024E-001                  7.1769659235175513E+005                  5.8559408841919893E+000                 -2.7659381622070461E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.7473425555225187E+039                  2.7473425555225187E+039                  7.1769659235175513E+005                  3.9438912813296795E+001                 -1.2758060466545790E+015                  7.9846277677064651E+010                  0.0000000000000000E+000                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                  1.9114241837353702E-001                  1.9114241837353702E-001                 -5.8730747947186468E-002                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                                        0                  6.6700755952828561E-001                 -1.7586924398027881E-001                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                 -9.8999999999999986E+001                  1.1701242077094140E+002                  2.0682319641903661E+000                  1.1701242077094140E+002                  2.0682319641903661E+000                  0.0000000000000000E+000                  3.0447974352656619E-006                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.0478069866951908E-007                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.2884866192525504E-001 
                                       4                  7.9999999999709189E+001                  2.0682315594096674E+000                  4.1912523842741765E+000                 -1.0479081991374343E+001                  2.3267861007613897E+000                  7.0000000000000018E-001                  2.8000000000000003E-001                  1.9999999999999796E-002                  1.0000000000000000E+000                  3.5571762779858124E+023                 -1.1650490509912244E+001                  5.8921161825726154E-001                  9.9999999999636480E-001                  0.0000000000000000E+000                  1.1701231171050122E+002                  8.1405465256995703E+012                  1.2910653562767317E+001                  1.1701221919409895E+002                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.7378817437234819E-001                  7.9999999999619746E+001                 -1.1439473715899998E+001                  1.2872742307617188E+007                  7.1096710754358146E+000                  4.3732479232888002E+000                  6.4080409858066789E-001                  7.1127786209679531E+000                 -9.8999999999999986E+001                  1.5532894205370079E+004                  2.8403244799687133E+013                  1.3453367956881623E+001                  3.3183180440997193E-011                  5.6967660303340850E+001                  2.1221989765766665E+002                  1.4680447944701993E+002                  6.5415418210646706E+001                  1.8156801222481869E+000                  3.0824356685049747E-001                 -2.0236902287749789E+001                  6.5505750030414622E-001                  2.4987584448271183E-001                  1.3547709062193811E+000                  7.6090006693787737E-001                  2.9435199040662982E+006                  6.4688669768551463E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.8657565867264069E-030                  0.0000000000000000E+000                  4.8657565867264069E-030                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.2966429887659308E+000                  1.1021529799335130E+000                  1.3826069774960505E+000                  8.5000496627254196E-001                  7.0000000000000018E-001                  2.8000000000000003E-001                  1.9999999999999796E-002                 -1.6989700043360232E+000                  7.0000000000000018E-001                  2.9797635251138113E-005                  2.7997020236474890E-001                  3.4468833607860920E-003                  1.0103427409336072E-003                  9.3805276451495445E-003                  2.0850244238750366E-003                  4.0772218292556778E-003                 -1.5490195998574305E-001                 -4.5258182002905940E+000                 -5.5288818879064094E-001                 -2.4625734124504901E+000                 -2.9955312744887617E+000                 -2.0277727323104973E+000                 -2.6808888533559170E+000                 -2.3896356592613932E+000                  7.7014342252413659E-001                 -1.1342838935921398E-001                 -1.1342838935921398E-001                  7.1769659235176840E+005                  5.8559408841919973E+000                 -2.7656889706161680E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.7473425555225695E+039                  2.7473425555225695E+039                  7.1769659235176840E+005                  3.9438912813296803E+001                 -1.2758093852534690E+015                  7.9841127325567139E+010                  0.0000000000000000E+000                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                  1.9116193743356485E-001                  1.9116193743356485E-001                 -5.8712677642263927E-002                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                                        0                  6.6720137895966725E-001                 -1.7574306477745891E-001                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                 -9.8999999999999986E+001                  1.1701231171050122E+002                  2.0682315594096674E+000                  1.1701231171050122E+002                  2.0682315594096674E+000                  0.0000000000000000E+000                  3.0446726137391492E-006                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.8675553344140611E-007                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.2887077001291849E-001 
