                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49 
                            model_number                                num_zones                             initial_mass                                initial_z                                 star_age                                time_step                                     Teff                            photosphere_L                            photosphere_r                               center_eta                                center_h1                               center_he3                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                                star_mass                                star_mdot                             star_mass_h1                            star_mass_he3                            star_mass_he4                            star_mass_c12                            star_mass_n14                            star_mass_o16                           star_mass_ne20                             he_core_mass                             co_core_mass                             fe_core_mass                   neutron_rich_core_mass                             dynamic_time                             kh_timescale                            nuc_timescale                           power_nuc_burn                             power_h_burn                            power_he_burn                                power_neu                                burn_min1                                burn_min2                             time_seconds                           version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                     msun                                     rsun                                     lsun 
                                    1850                                     1452                  8.0000000000000000E+001                  2.0000000000000000E-002                  3.0723799108614288E+006                  5.5729777936378326E+000                  6.5749100932179890E+003                  1.7324911524396753E+006                  1.0143995232949129E+003                 -6.5492246119539583E+000                  6.3489404514686021E-033                  0.0000000000000000E+000                  9.8064008597475039E-001                  3.6195185764250221E-004                  1.2689119999275316E-002                  1.4659590740339728E-004                  2.0850244316725978E-003                  8.0000000000000000E+001                  0.0000000000000000E+000                  1.9912956495595846E+001                  4.8179219724960541E-004                  5.8521513709035965E+001                  7.4442525555105124E-002                  7.9521039872372379E-001                  2.0241537843161772E-001                  1.6680195412005014E-001                  3.6907799239592450E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6151441379765891E+007                  8.5759219602596389E+001                  4.6176281989864632E+005                  2.0043490172722775E+006                  2.0043490172711434E+006                  6.5894528378054935E-008                  1.3650866747510250E+005                  5.0000000000000000E+001                  1.0000000000000000E+003                  9.6956936275000625E+013                                "r26.4.1"                               "gfortran"                                 "15.2.0"                    "x86_64-linux-26.3.2"                                 "CRMATH"                               "20260528"                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61                                       62                                       63                                       64                                       65                                       66                                       67                                       68                                       69                                       70                                       71                                       72                                       73                                       74                                       75                                       76                                       77                                       78                                       79                                       80                                       81                                       82                                       83                                       84                                       85                                       86                                       87                                       88                                       89                                       90                                       91                                       92                                       93                                       94                                       95                                       96                                       97                                       98                                       99                                      100                                      101                                      102                                      103                                      104                                      105                                      106                                      107                                      108                                      109                                      110                                      111                                      112                                      113                                      114                                      115                                      116                                      117                                      118                                      119                                      120                                      121                                      122                                      123                                      124                                      125                                      126                                      127                                      128                                      129                                      130                                      131                                      132                                      133                                      134                                      135                                      136                                      137                                      138                                      139                                      140                                      141                                      142                                      143                                      144                                      145                                      146                                      147                                      148                                      149                                      150                                      151                                      152                                      153                                      154                                      155                                      156                                      157                                      158                                      159                                      160                                      161                                      162                                      163                                      164                                      165                                      166                                      167                                      168                                      169                                      170                                      171                                      172                                      173                                      174                                      175                                      176                                      177                                      178                                      179                                      180                                      181                                      182                                      183                                      184                                      185                                      186                                      187                                      188 
                                    zone                                     mass                                     logR                                     logT                                   logRho                                     logP                        x_mass_fraction_H                       y_mass_fraction_He                   z_mass_fraction_metals                     extra_opacity_factor                                       dm                                    logdq                                 dq_ratio                                        q                             vel_km_per_s                                   radius                                radius_cm                                  logR_cm                                     rmid                                 velocity                                  v_div_r                    pressure_scale_height                                     mmid                                    logxq                                       dr                                   log_dr                                dr_div_cs                            log_dr_div_cs                           acoustic_depth                   log_cell_collapse_time                              temperature                                   energy                                     logE                                      rho                                  entropy                                 pressure                                     prad                                     pgas                                  logPgas                          pgas_div_ptotal                                      eta                                       mu                                    grada                                   gamma1                                   free_e                                   csound                               log_csound                             v_div_csound                                 eps_grav                                  eps_nuc                              non_nuc_neu                                       pp                                      cno                                tri_alpha                                  c_alpha                                  n_alpha                                  o_alpha                                 ne_alpha                                 na_alpha                                 mg_alpha                                 si_alpha                                  s_alpha                                 ar_alpha                                 ca_alpha                                 ti_alpha                                 cr_alpha                                 fe_co_ni                                  c12_c12                                  c12_o16                                  o16_o16                                    pnhe4                                    photo                                ni56_co56                                co56_fe56                                    other                                     abar                                     zbar                                    z2bar                                       ye                                        x                                        y                                        z                                    log_z                                       h1                                      he3                                      he4                                      c12                                      n14                                      o16                                     ne20                                     mg24                                   log_h1                                  log_he3                                  log_he4                                  log_c12                                  log_n14                                  log_o16                                 log_ne20                                 log_mg24                                  opacity                              log_opacity                     log_kap_times_factor                               luminosity                                     logL                           log_L_div_Ledd                                  lum_adv                                 lum_conv                                lum_erg_s                         lum_plus_lum_adv                                  lum_rad                        log_abs_lum_erg_s                             total_energy                        mlt_mixing_length                                 conv_vel                             log_conv_vel                             conv_L_div_L                         log_conv_L_div_L                                    gradT                                    gradr                          gradT_sub_grada                      conv_vel_div_csound                            log_mlt_D_mix                                log_D_mix                               log_D_conv                               log_D_semi                                log_D_ovr                               log_D_thrm                            log_D_minimum                    log_D_rayleigh_taylor                              log_D_omega                              log_sig_mix                                 mix_type                                      tau                                   logtau                                    omega                                log_omega                                log_j_rot                            log_J_div_M53                             log_J_inside                            log_abs_shear                                    i_rot                                    j_rot                                    v_rot                                   fp_rot                                   ft_rot                                log_am_nu                                  r_polar                              log_r_polar                             r_equatorial                         log_r_equatorial                              r_e_div_r_p                               omega_crit                     omega_div_omega_crit                               am_log_sig                             am_log_D_DSI                              am_log_D_SH                             am_log_D_SSI                              am_log_D_ES                             am_log_D_GSF                              am_log_D_ST                             am_log_nu_ST                           dynamo_log_B_r                         dynamo_log_B_phi                    RTI_du_diffusion_kick                                alpha_RTI                        boost_for_eta_RTI                                 dedt_RTI                                 dudt_RTI                                  eta_RTI                            log_alpha_RTI                              log_eta_RTI                  log_lambda_RTI_div_Hrho                              log_sig_RTI               log_source_minus_alpha_RTI                log_source_plus_alpha_RTI                               lambda_RTI                           v_div_v_escape                                        u                                   u_face                                   P_face                               extra_heat                                      zFe                         dPdr_dRhodr_info                                    dlogR                                dPdr_info                              dRhodr_info                       log_du_kick_div_du                     L_div_Ledd_effective 
                                       1                  8.0000000000000000E+001                  3.0062090364461378E+000                  3.8178898251525495E+000                 -1.0340593361355920E+001                  1.3922792465664542E+000                  6.9999999995230788E-001                  2.8000000004769221E-001                  1.9999999999999907E-002                  1.0000000000000000E+000                  1.5907278965584403E+023                 -1.2000000000000000E+001                  1.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000                  1.0143995232949129E+003                  7.0571774835627094E+013                  1.3848631039803786E+001                  1.0143995228947211E+003                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6451135622756698E+000                  7.9999999999959996E+001                 -9.8999999999999986E+001                  5.5682187500000000E+004                  4.7457162883934165E+000                  7.3231543576545807E-002                 -1.1353018116953053E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                  6.5749101929772241E+003                  2.9157678470876001E+012                  1.2464752942573767E+001                  4.5646411243808042E-011                  2.6851856801640370E+001                  2.4676254832379087E+001                  4.7129091816256166E+000                  1.9963345650753471E+001                  1.3002333263251049E+000                  8.0901035373319519E-001                 -2.1726493236522508E+001                  1.2499549905861236E+000                  1.2947593364288465E-001                  1.0694576521082695E+000                  3.4345733231784900E-002                  7.6035796571456653E+005                  5.8810181000887223E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.6932931465514155E-030                  0.0000000000000000E+000                  6.6932931465514155E-030                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.2966429888193869E+000                  1.1021529799583376E+000                  1.3826069775736636E+000                  8.5000496625664446E-001                  6.9999999995230788E-001                  2.8000000004769221E-001                  1.9999999999999907E-002                 -1.6989700043360207E+000                  6.9999999995230788E-001                  2.9797682943503219E-005                  2.7997020236474873E-001                  3.4468833607859666E-003                  1.0103427409337130E-003                  9.3805276451495376E-003                  2.0850244238750353E-003                  4.0772218292556752E-003                 -1.5490196001533232E-001                 -4.5258175051846159E+000                 -5.5288818879064117E-001                 -2.4625734124505056E+000                 -2.9955312744887164E+000                 -2.0277727323104977E+000                 -2.6808888533559174E+000                 -2.3896356592613937E+000                  6.3673398260922318E-002                 -1.1960419711416106E+000                 -1.1960419711416106E+000                  1.7324911524396753E+006                  6.2386710254157700E+000                 -9.7643110808490896E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.6319761315390775E+039                  6.6319761315390775E+039                  1.7324911524396753E+006                  3.9821642954520570E+001                 -1.4752674587616575E+014                  5.0718110105503656E+011                  0.0000000000000000E+000                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                  1.3819711594103398E-001                  1.3819711592838746E-001                  8.7211822981493325E-003                  0.0000000000000000E+000                  1.1994307466773071E+001                  1.1994048066617136E+001                  1.1994035994510741E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                                        1                  6.6666666666666663E-001                 -1.7609125905568127E-001                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                 -9.8999999999999986E+001                  1.0143995232949129E+003                  3.0062090364461378E+000                  1.0143995232949129E+003                  3.0062090364461378E+000                  0.0000000000000000E+000                  1.6437121097370083E-007                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.4266489342701833E-010                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0556105908655403E-001 
                                       2                  7.9999999999920007E+001                  3.0062090361034728E+000                  3.8178898491057685E+000                 -1.0340593203110879E+001                  1.3922794198928710E+000                  6.9999999995230788E-001                  2.8000000004769221E-001                  1.9999999999999907E-002                  1.0000000000000000E+000                  4.1918591823567266E+023                 -1.1579189212440074E+001                  3.7948028007565587E-001                  9.9999999999900002E-001                  0.0000000000000000E+000                  1.0143995224945365E+003                  7.0571774779944906E+013                  1.3848631039461122E+001                  1.0143995214399608E+003                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6451136831079882E+000                  7.9999999999814605E+001                 -1.2000000000000000E+001                  1.4673314062500000E+005                  5.1665282131281476E+000                  1.9297902641951367E-001                 -7.1448988894681154E-001                  7.3231543576545807E-002                 -9.8999999999999986E+001                  6.5749105556119712E+003                  2.9157680807957212E+012                  1.2464752977383858E+001                  4.5646427876115846E-011                  2.6851856868949319E+001                  2.4676264680645325E+001                  4.7129102213750391E+000                  1.9963354459270285E+001                  1.3002335179507707E+000                  8.0901038782131474E-001                 -2.1726492449214216E+001                  1.2499549634461902E+000                  1.2947590606442155E-001                  1.0694576247524052E+000                  3.4345750599301179E-002                  7.6035796919204807E+005                  5.8810181020749592E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.6932955854209052E-030                  0.0000000000000000E+000                  6.6932955854209052E-030                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.2966429888193869E+000                  1.1021529799583376E+000                  1.3826069775736636E+000                  8.5000496625664446E-001                  6.9999999995230788E-001                  2.8000000004769221E-001                  1.9999999999999907E-002                 -1.6989700043360207E+000                  6.9999999995230788E-001                  2.9797682943503219E-005                  2.7997020236474873E-001                  3.4468833607859666E-003                  1.0103427409337130E-003                  9.3805276451495376E-003                  2.0850244238750353E-003                  4.0772218292556752E-003                 -1.5490196001533232E-001                 -4.5258175051846159E+000                 -5.5288818879064117E-001                 -2.4625734124505056E+000                 -2.9955312744887164E+000                 -2.0277727323104977E+000                 -2.6808888533559174E+000                 -2.3896356592613937E+000                  6.3673449690122827E-002                 -1.1960416203607573E+000                 -1.1960416203607573E+000                  1.7324911524397002E+006                  6.2386710254157762E+000                 -9.7643110808490274E-001                  0.0000000000000000E+000                 -1.5858973580289954E-004                  6.6319761315391730E+039                  6.6319761315391730E+039                  1.7324911525982900E+006                  3.9821642954520577E+001                 -1.4752674585793525E+014                  5.0718110510019440E+011                  5.8382874347854647E+000                  7.6628547267808156E-001                 -9.1538554514158932E-011                 -9.8999999999999986E+001                  1.3819715343251779E-001                  1.3819715341986741E-001                  8.7212273761735626E-003                  7.6783405852183600E-006                  1.1994319590098115E+001                  1.1994048066617136E+001                  1.1994048066617136E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                  0.0000000000000000E+000                  2.5436236510153265E+001                                        1                  6.6666682850521819E-001                 -1.7609115362730920E-001                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                 -9.8999999999999986E+001                  1.0143995224945365E+003                  3.0062090361034728E+000                  1.0143995224945365E+003                  3.0062090361034728E+000                  0.0000000000000000E+000                  1.6437121132720820E-007                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.0298698213681927E-010                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0556106888350288E-001 
                                       3                  7.9999999999709189E+001                  3.0062090352004858E+000                  3.8178898959395480E+000                 -1.0340592893707884E+001                  1.3922797587834110E+000                  6.9999999995230788E-001                  2.8000000004769221E-001                  1.9999999999999907E-002                  1.0000000000000000E+000                  7.1143525559716247E+023                 -1.1349460514248262E+001                  5.8921161825726154E-001                  9.9999999999636480E-001                  0.0000000000000000E+000                  1.0143995203853926E+003                  7.0571774633211766E+013                  1.3848631038558135E+001                  1.0143995185955912E+003                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6451139154541159E+000                  7.9999999999530289E+001                 -1.1439473715899998E+001                  2.4903270312500000E+005                  5.3962563826544843E+000                  3.2752034040321215E-001                 -4.8476172330406636E-001                  2.6621056999605947E-001                 -9.8999999999999986E+001                  6.5749112646422236E+003                  2.9157685377473032E+012                  1.2464753045445352E+001                  4.5646460395862737E-011                  2.6851857000556389E+001                  2.4676283936141949E+001                  4.7129122543130917E+000                  1.9963371681828857E+001                  1.3002338926202153E+000                  8.0901045447080633E-001                 -2.1726490909855269E+001                  1.2499549103816174E+000                  1.2947585214252946E-001                  1.0694575712656489E+000                  3.4345784556638476E-002                  7.6035797599139775E+005                  5.8810181059585513E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.6933003539364662E-030                  0.0000000000000000E+000                  6.6933003539364662E-030                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.2966429888193869E+000                  1.1021529799583376E+000                  1.3826069775736636E+000                  8.5000496625664446E-001                  6.9999999995230788E-001                  2.8000000004769221E-001                  1.9999999999999907E-002                 -1.6989700043360207E+000                  6.9999999995230788E-001                  2.9797682943503219E-005                  2.7997020236474873E-001                  3.4468833607859666E-003                  1.0103427409337130E-003                  9.3805276451495376E-003                  2.0850244238750353E-003                  4.0772218292556752E-003                 -1.5490196001533232E-001                 -4.5258175051846159E+000                 -5.5288818879064117E-001                 -2.4625734124505056E+000                 -2.9955312744887164E+000                 -2.0277727323104977E+000                 -2.6808888533559174E+000                 -2.3896356592613937E+000                  6.3673550245565841E-002                 -1.1960409345075522E+000                 -1.1960409345075522E+000                  1.7324911524396937E+006                  6.2386710254157745E+000                 -9.7643059951408828E-001                  0.0000000000000000E+000                 -1.5884440079042241E-004                  6.6319761315391477E+039                  6.6319761315391477E+039                  1.7324911525985380E+006                  3.9821642954520577E+001                 -1.4752674582228909E+014                  5.0718112852745294E+011                  5.8391465036312216E+000                  7.6634937179528961E-001                 -9.1685548042619303E-011                 -9.8999999999999986E+001                  1.3819735102616038E-001                  1.3819735101348968E-001                  8.7214649536674904E-003                  7.6794703558859626E-006                  1.1994383506806056E+001                  1.1994111863832412E+001                  1.1994111863832412E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                  0.0000000000000000E+000                  2.5145106998670784E+001                                        1                  6.6666725497977097E-001                 -1.7609087580414812E-001                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                 -9.8999999999999986E+001                  1.0143995203853926E+003                  3.0062090352004858E+000                  1.0143995203853926E+003                  3.0062090352004858E+000                  0.0000000000000000E+000                  1.6437120040616899E-007                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.5325323537056813E-009                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0556118297661050E-001 
                                       4                  7.9999999999351388E+001                  3.0062090336679534E+000                  3.8178899548792726E+000                 -1.0340592504329386E+001                  1.3922801852719167E+000                  6.9999999995230788E-001                  2.8000000004769221E-001                  1.9999999999999907E-002                  1.0000000000000000E+000                  7.1143525559716247E+023                 -1.1349460514248262E+001                  1.0000000000000000E+000                  9.9999999999189237E-001                  0.0000000000000000E+000                  1.0143995168057936E+003                  7.0571774384179062E+013                  1.3848631037025603E+001                  1.0143995150159886E+003                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6451142012159474E+000                  7.9999999999172488E+001                 -1.1091109230259756E+001                  2.4903245312500000E+005                  5.3962559466728903E+000                  3.2752000792478092E-001                 -4.8476216417323847E-001                  5.9373091039927162E-001                 -9.8999999999999986E+001                  6.5749121569480285E+003                  2.9157691128173999E+012                  1.2464753131100213E+001                  4.5646501321453089E-011                  2.6851857166189074E+001                  2.4676308168908108E+001                  4.7129148127414249E+000                  1.9963393356166684E+001                  1.3002343641357665E+000                  8.0901053834788594E-001                 -2.1726488972593089E+001                  1.2499548436003833E+000                  1.2947578428256595E-001                  1.0694575039531058E+000                  3.4345827291611696E-002                  7.6035798454851471E+005                  5.8810181108461288E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.6933063550383518E-030                  0.0000000000000000E+000                  6.6933063550383518E-030                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.2966429888193869E+000                  1.1021529799583376E+000                  1.3826069775736636E+000                  8.5000496625664446E-001                  6.9999999995230788E-001                  2.8000000004769221E-001                  1.9999999999999907E-002                 -1.6989700043360207E+000                  6.9999999995230788E-001                  2.9797682943503219E-005                  2.7997020236474873E-001                  3.4468833607859666E-003                  1.0103427409337130E-003                  9.3805276451495376E-003                  2.0850244238750353E-003                  4.0772218292556752E-003                 -1.5490196001533232E-001                 -4.5258175051846159E+000                 -5.5288818879064117E-001                 -2.4625734124505056E+000                 -2.9955312744887164E+000                 -2.0277727323104977E+000                 -2.6808888533559174E+000                 -2.3896356592613937E+000                  6.3673676793543327E-002                 -1.1960400713699781E+000                 -1.1960400713699781E+000                  1.7324911524396816E+006                  6.2386710254157709E+000                 -9.7642973637520636E-001                  0.0000000000000000E+000                 -1.5927910084465326E-004                  6.6319761315391017E+039                  6.6319761315391017E+039                  1.7324911525989608E+006                  3.9821642954520577E+001                 -1.4752674577742541E+014                  5.0718116828814636E+011                  5.8406046757106953E+000                  7.6645781179222916E-001                 -9.1936458446184588E-011                 -9.8999999999999986E+001                  1.3819768637948054E-001                  1.3819768636677515E-001                  8.7218681669328224E-003                  7.6813880136262355E-006                  1.1994491980682541E+001                  1.1994220270019991E+001                  1.1994220270019991E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                  0.0000000000000000E+000                  2.5045368567312416E+001                                        1                  6.6666797878632111E-001                 -1.7609040428703412E-001                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                 -9.8999999999999986E+001                  1.0143995168057936E+003                  3.0062090336679534E+000                  1.0143995168057936E+003                  3.0062090336679534E+000                  0.0000000000000000E+000                  1.6437118248860766E-007                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.5325308107817349E-009                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0556139277462030E-001 
