                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49 
                            model_number                                num_zones                             initial_mass                                initial_z                                 star_age                                time_step                                     Teff                            photosphere_L                            photosphere_r                               center_eta                                center_h1                               center_he3                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                                star_mass                                star_mdot                             star_mass_h1                            star_mass_he3                            star_mass_he4                            star_mass_c12                            star_mass_n14                            star_mass_o16                           star_mass_ne20                             he_core_mass                             co_core_mass                             fe_core_mass                   neutron_rich_core_mass                             dynamic_time                             kh_timescale                            nuc_timescale                           power_nuc_burn                             power_h_burn                            power_he_burn                                power_neu                                burn_min1                                burn_min2                             time_seconds                           version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                     msun                                     rsun                                     lsun 
                                    1900                                     1431                  8.0000000000000000E+001                  2.0000000000000000E-002                  3.0733179219621522E+006                  7.7556754428280087E+001                  6.4363345177912443E+003                  1.8241028276300072E+006                  1.0861770034127933E+003                 -6.4126462744182717E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.8064008597474484E-001                  3.6195185763444529E-004                  1.2689119999272986E-002                  1.4659590741610728E-004                  2.0850244316759033E-003                  8.0000000000000000E+001                  0.0000000000000000E+000                  1.9896284875142033E+001                  4.7431520146597048E-004                  5.8537962856229314E+001                  7.2953952181057852E-002                  7.9707408480332353E-001                  2.0227021598222200E-001                  1.6680195412010418E-001                  2.7957570553540371E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.0055574808981813E+007                  7.6069570117799856E+001                  4.3857176683367789E+005                  1.6823880993294930E+006                  1.6823880993237370E+006                  7.4245337928975394E-007                  1.1462091523794341E+005                  5.0000000000000000E+001                  1.0000000000000000E+003                  9.6986537654112812E+013                                "r26.4.1"                               "gfortran"                                 "15.2.0"                    "x86_64-linux-26.3.2"                                 "CRMATH"                               "20260528"                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61                                       62                                       63                                       64                                       65                                       66                                       67                                       68                                       69                                       70                                       71                                       72                                       73                                       74                                       75                                       76                                       77                                       78                                       79                                       80                                       81                                       82                                       83                                       84                                       85                                       86                                       87                                       88                                       89                                       90                                       91                                       92                                       93                                       94                                       95                                       96                                       97                                       98                                       99                                      100                                      101                                      102                                      103                                      104                                      105                                      106                                      107                                      108                                      109                                      110                                      111                                      112                                      113                                      114                                      115                                      116                                      117                                      118                                      119                                      120                                      121                                      122                                      123                                      124                                      125                                      126                                      127                                      128                                      129                                      130                                      131                                      132                                      133                                      134                                      135                                      136                                      137                                      138                                      139                                      140                                      141                                      142                                      143                                      144                                      145                                      146                                      147                                      148                                      149                                      150                                      151                                      152                                      153                                      154                                      155                                      156                                      157                                      158                                      159                                      160                                      161                                      162                                      163                                      164                                      165                                      166                                      167                                      168                                      169                                      170                                      171                                      172                                      173                                      174                                      175                                      176                                      177                                      178                                      179                                      180                                      181                                      182                                      183                                      184                                      185                                      186                                      187                                      188 
                                    zone                                     mass                                     logR                                     logT                                   logRho                                     logP                        x_mass_fraction_H                       y_mass_fraction_He                   z_mass_fraction_metals                     extra_opacity_factor                                       dm                                    logdq                                 dq_ratio                                        q                             vel_km_per_s                                   radius                                radius_cm                                  logR_cm                                     rmid                                 velocity                                  v_div_r                    pressure_scale_height                                     mmid                                    logxq                                       dr                                   log_dr                                dr_div_cs                            log_dr_div_cs                           acoustic_depth                   log_cell_collapse_time                              temperature                                   energy                                     logE                                      rho                                  entropy                                 pressure                                     prad                                     pgas                                  logPgas                          pgas_div_ptotal                                      eta                                       mu                                    grada                                   gamma1                                   free_e                                   csound                               log_csound                             v_div_csound                                 eps_grav                                  eps_nuc                              non_nuc_neu                                       pp                                      cno                                tri_alpha                                  c_alpha                                  n_alpha                                  o_alpha                                 ne_alpha                                 na_alpha                                 mg_alpha                                 si_alpha                                  s_alpha                                 ar_alpha                                 ca_alpha                                 ti_alpha                                 cr_alpha                                 fe_co_ni                                  c12_c12                                  c12_o16                                  o16_o16                                    pnhe4                                    photo                                ni56_co56                                co56_fe56                                    other                                     abar                                     zbar                                    z2bar                                       ye                                        x                                        y                                        z                                    log_z                                       h1                                      he3                                      he4                                      c12                                      n14                                      o16                                     ne20                                     mg24                                   log_h1                                  log_he3                                  log_he4                                  log_c12                                  log_n14                                  log_o16                                 log_ne20                                 log_mg24                                  opacity                              log_opacity                     log_kap_times_factor                               luminosity                                     logL                           log_L_div_Ledd                                  lum_adv                                 lum_conv                                lum_erg_s                         lum_plus_lum_adv                                  lum_rad                        log_abs_lum_erg_s                             total_energy                        mlt_mixing_length                                 conv_vel                             log_conv_vel                             conv_L_div_L                         log_conv_L_div_L                                    gradT                                    gradr                          gradT_sub_grada                      conv_vel_div_csound                            log_mlt_D_mix                                log_D_mix                               log_D_conv                               log_D_semi                                log_D_ovr                               log_D_thrm                            log_D_minimum                    log_D_rayleigh_taylor                              log_D_omega                              log_sig_mix                                 mix_type                                      tau                                   logtau                                    omega                                log_omega                                log_j_rot                            log_J_div_M53                             log_J_inside                            log_abs_shear                                    i_rot                                    j_rot                                    v_rot                                   fp_rot                                   ft_rot                                log_am_nu                                  r_polar                              log_r_polar                             r_equatorial                         log_r_equatorial                              r_e_div_r_p                               omega_crit                     omega_div_omega_crit                               am_log_sig                             am_log_D_DSI                              am_log_D_SH                             am_log_D_SSI                              am_log_D_ES                             am_log_D_GSF                              am_log_D_ST                             am_log_nu_ST                           dynamo_log_B_r                         dynamo_log_B_phi                    RTI_du_diffusion_kick                                alpha_RTI                        boost_for_eta_RTI                                 dedt_RTI                                 dudt_RTI                                  eta_RTI                            log_alpha_RTI                              log_eta_RTI                  log_lambda_RTI_div_Hrho                              log_sig_RTI               log_source_minus_alpha_RTI                log_source_plus_alpha_RTI                               lambda_RTI                           v_div_v_escape                                        u                                   u_face                                   P_face                               extra_heat                                      zFe                         dPdr_dRhodr_info                                    dlogR                                dPdr_info                              dRhodr_info                       log_du_kick_div_du                     L_div_Ledd_effective 
                                       1                  8.0000000000000000E+001                  3.0359006036521055E+000                  3.8086386119684961E+000                 -1.0239237270587862E+001                  1.4574584483915327E+000                  6.9999999992507178E-001                  2.8000000007492826E-001                  2.0000000000000018E-002                  1.0000000000000000E+000                  1.5907278965584403E+023                 -1.2000000000000000E+001                  1.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000                  1.0861770034127933E+003                  7.5565334127428031E+013                  1.3878322607009755E+001                  1.0861770031364015E+003                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.8451856123579948E+000                  7.9999999999959996E+001                 -9.8999999999999986E+001                  3.8456906250000000E+004                  4.5849743435375023E+000                  5.1711705677065144E-002                 -1.2864111370699274E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                  6.4363345803457678E+003                  2.6660208777496875E+012                  1.2425863546074083E+001                  5.7645144133373753E-011                  2.6166844708956418E+001                  2.8672030396122388E+001                  4.3279697654500788E+000                  2.4344060630672310E+001                  1.3863930209937860E+000                  8.4905255380744182E-001                 -2.1842028308640241E+001                  1.2671860394931982E+000                  1.3954941355299769E-001                  1.1119243533233287E+000                  2.3467326584894598E-002                  7.4367893587111298E+005                  5.8713854806074295E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  8.4527230536305205E-030                  0.0000000000000000E+000                  8.4527230536305205E-030                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.2966429888499147E+000                  1.1021529799725147E+000                  1.3826069776179875E+000                  8.5000496624756594E-001                  6.9999999992507178E-001                  2.8000000007492826E-001                  2.0000000000000018E-002                 -1.6989700043360183E+000                  6.9999999992507178E-001                  2.9797710179577211E-005                  2.7997020236474868E-001                  3.4468833607857103E-003                  1.0103427409339991E-003                  9.3805276451495358E-003                  2.0850244238750349E-003                  4.0772218292556743E-003                 -1.5490196003223017E-001                 -4.5258171082251852E+000                 -5.5288818879064128E-001                 -2.4625734124505381E+000                 -2.9955312744885934E+000                 -2.0277727323104977E+000                 -2.6808888533559174E+000                 -2.3896356592613937E+000                  4.6761396512610243E-002                 -1.3301125272650300E+000                 -1.3301125272650300E+000                  1.8241028276300072E+006                  6.2610493165656251E+000                 -1.0881234067074737E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.9826656241676681E+039                  6.9826656241676681E+039                  1.8241028276300072E+006                  3.9844021245670426E+001                 -1.3783484933335208E+014                  5.3501912610349133E+011                  0.0000000000000000E+000                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                  1.3520438259601406E-001                  1.3520438259601406E-001                 -4.3450309569836310E-003                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                                        0                  6.6666666666666663E-001                 -1.7609125905568127E-001                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                 -9.8999999999999986E+001                  1.0861770034127933E+003                  3.0359006036521055E+000                  1.0861770034127933E+003                  3.0359006036521055E+000                  0.0000000000000000E+000                  1.5032269477114808E-007                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.2102231241006695E-010                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  8.1622797182786214E-002 
                                       2                  7.9999999999920007E+001                  3.0359006034310831E+000                  3.8086386273114932E+000                 -1.0239237167485184E+001                  1.4574585618715352E+000                  6.9999999992507178E-001                  2.8000000007492826E-001                  2.0000000000000018E-002                  1.0000000000000000E+000                  4.1918591823567266E+023                 -1.1579189212440074E+001                  3.7948028007565587E-001                  9.9999999999900002E-001                  0.0000000000000000E+000                  1.0861770028600133E+003                  7.5565334088971125E+013                  1.3878322606788732E+001                  1.0861770021316622E+003                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.8451857003274954E+000                  7.9999999999814605E+001                 -1.2000000000000000E+001                  1.0134198437500000E+005                  5.0057894039478921E+000                  1.3627115051432404E-001                 -8.6559607739052624E-001                  5.1711705677065144E-002                 -9.8999999999999986E+001                  6.4363348077321789E+003                  2.6660209872552407E+012                  1.2425863563912525E+001                  5.7645157818487531E-011                  2.6166844692914296E+001                  2.8672037888049271E+001                  4.3279703770538127E+000                  2.4344067510995458E+001                  1.3863931437377275E+000                  8.4905257191858885E-001                 -2.1842027791235672E+001                  1.2671860269471524E+000                  1.3954939431497276E-001                  1.1119243304973618E+000                  2.3467334399393178E-002                  7.4367893712284695E+005                  5.8713854813384190E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  8.4527250603446730E-030                  0.0000000000000000E+000                  8.4527250603446730E-030                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.2966429888499147E+000                  1.1021529799725147E+000                  1.3826069776179875E+000                  8.5000496624756594E-001                  6.9999999992507178E-001                  2.8000000007492826E-001                  2.0000000000000018E-002                 -1.6989700043360183E+000                  6.9999999992507178E-001                  2.9797710179577211E-005                  2.7997020236474868E-001                  3.4468833607857103E-003                  1.0103427409339991E-003                  9.3805276451495358E-003                  2.0850244238750349E-003                  4.0772218292556743E-003                 -1.5490196003223017E-001                 -4.5258171082251852E+000                 -5.5288818879064128E-001                 -2.4625734124505381E+000                 -2.9955312744885934E+000                 -2.0277727323104977E+000                 -2.6808888533559174E+000                 -2.3896356592613937E+000                  4.6761421111451706E-002                 -1.3301122988043959E+000                 -1.3301122988043959E+000                  1.8241028276300053E+006                  6.2610493165656251E+000                 -1.0881234067074741E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.9826656241676608E+039                  6.9826656241676608E+039                  1.8241028276300053E+006                  3.9844021245670426E+001                 -1.3783484935355728E+014                  5.3501912907623187E+011                  0.0000000000000000E+000                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                  1.3520440662424946E-001                  1.3520440662424946E-001                 -4.3450016365731980E-003                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                                        0                  6.6666677033074528E-001                 -1.7609119152458053E-001                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                 -9.8999999999999986E+001                  1.0861770028600133E+003                  3.0359006034310831E+000                  1.0861770028600133E+003                  3.0359006034310831E+000                  0.0000000000000000E+000                  1.5032269497965101E-007                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.8243990348266713E-010                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  8.1622801895255712E-002 
                                       3                  7.9999999999709189E+001                  3.0359006028486433E+000                  3.8086386573103952E+000                 -1.0239236965897241E+001                  1.4574587837494524E+000                  6.9999999992507178E-001                  2.8000000007492826E-001                  2.0000000000000018E-002                  1.0000000000000000E+000                  7.1143525559716247E+023                 -1.1349460514248262E+001                  5.8921161825726154E-001                  9.9999999999636480E-001                  0.0000000000000000E+000                  1.0861770014033225E+003                  7.5565333987629141E+013                  1.3878322606206293E+001                  1.0861770001671855E+003                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.8451858696686765E+000                  7.9999999999530289E+001                 -1.1439473715899998E+001                  1.7199554687500000E+005                  5.2355172027642309E+000                  2.3127661376881564E-001                 -6.3586828000344742E-001                  1.8798285619138919E-001                 -9.8999999999999986E+001                  6.4363352523221802E+003                  2.6660212013627471E+012                  1.2425863598790610E+001                  5.7645184575842237E-011                  2.6166844661549874E+001                  2.8672052536390289E+001                  4.3279715728726202E+000                  2.4344080963517669E+001                  1.3863933837286226E+000                  8.4905260732974730E-001                 -2.1842026779597369E+001                  1.2671860024168777E+000                  1.3954935670045029E-001                  1.1119242858676031E+000                  2.3467349678453691E-002                  7.4367893957028852E+005                  5.8713854827676784E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  8.4527289839044858E-030                  0.0000000000000000E+000                  8.4527289839044858E-030                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.2966429888499147E+000                  1.1021529799725147E+000                  1.3826069776179875E+000                  8.5000496624756594E-001                  6.9999999992507178E-001                  2.8000000007492826E-001                  2.0000000000000018E-002                 -1.6989700043360183E+000                  6.9999999992507178E-001                  2.9797710179577211E-005                  2.7997020236474868E-001                  3.4468833607857103E-003                  1.0103427409339991E-003                  9.3805276451495358E-003                  2.0850244238750349E-003                  4.0772218292556743E-003                 -1.5490196003223017E-001                 -4.5258171082251852E+000                 -5.5288818879064128E-001                 -2.4625734124505381E+000                 -2.9955312744885934E+000                 -2.0277727323104977E+000                 -2.6808888533559174E+000                 -2.3896356592613937E+000                  4.6761469207582243E-002                 -1.3301118521140931E+000                 -1.3301118521140931E+000                  1.8241028276300062E+006                  6.2610493165656251E+000                 -1.0881230754791866E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.9826656241676644E+039                  6.9826656241676644E+039                  1.8241028276300062E+006                  3.9844021245670426E+001                 -1.3783484939306272E+014                  5.3501914617729419E+011                  0.0000000000000000E+000                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                  1.3520453326155993E-001                  1.3520453326155993E-001                 -4.3448471075585582E-003                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                                        0                  6.6666704350471206E-001                 -1.7609101356772508E-001                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                 -9.8999999999999986E+001                  1.0861770014033225E+003                  3.0359006028486433E+000                  1.0861770014033225E+003                  3.0359006028486433E+000                  0.0000000000000000E+000                  1.5032269049824503E-007                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.8850508479471120E-010                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  8.1622859197979875E-002 
                                       4                  7.9999999999351388E+001                  3.0359006018601380E+000                  3.8086386950636206E+000                 -1.0239236712201983E+001                  1.4574590629794744E+000                  6.9999999992507178E-001                  2.8000000007492826E-001                  2.0000000000000018E-002                  1.0000000000000000E+000                  7.1143525559716247E+023                 -1.1349460514248262E+001                  1.0000000000000000E+000                  9.9999999999189237E-001                  0.0000000000000000E+000                  1.0861769989310565E+003                  7.5565333815633594E+013                  1.3878322605217788E+001                  1.0861769976949156E+003                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.8451860782631049E+000                  7.9999999999172488E+001                 -1.1091109230259756E+001                  1.7199554687500000E+005                  5.2355172027642309E+000                  2.3127661281092343E-001                 -6.3586828180219090E-001                  4.1925946996020480E-001                 -9.8999999999999986E+001                  6.4363358118329143E+003                  2.6660214708149009E+012                  1.2425863642684325E+001                  5.7645218249570357E-011                  2.6166844622080717E+001                  2.8672070971117805E+001                  4.3279730777953889E+000                  2.4344097893322417E+001                  1.3863936857535064E+000                  8.4905265189406520E-001                 -2.1842025506464516E+001                  1.2671859715458078E+000                  1.3954930936308024E-001                  1.1119242297015905E+000                  2.3467368906977395E-002                  7.4367894265042816E+005                  5.8713854845664217E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  8.4527339216454469E-030                  0.0000000000000000E+000                  8.4527339216454469E-030                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.2966429888499147E+000                  1.1021529799725147E+000                  1.3826069776179875E+000                  8.5000496624756594E-001                  6.9999999992507178E-001                  2.8000000007492826E-001                  2.0000000000000018E-002                 -1.6989700043360183E+000                  6.9999999992507178E-001                  2.9797710179577214E-005                  2.7997020236474868E-001                  3.4468833607857103E-003                  1.0103427409339991E-003                  9.3805276451495358E-003                  2.0850244238750349E-003                  4.0772218292556743E-003                 -1.5490196003223017E-001                 -4.5258171082251852E+000                 -5.5288818879064128E-001                 -2.4625734124505381E+000                 -2.9955312744885934E+000                 -2.0277727323104977E+000                 -2.6808888533559174E+000                 -2.3896356592613937E+000                  4.6761529736000652E-002                 -1.3301112899602185E+000                 -1.3301112899602185E+000                  1.8241028276300076E+006                  6.2610493165656251E+000                 -1.0881225133236663E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.9826656241676693E+039                  6.9826656241676693E+039                  1.8241028276300076E+006                  3.9844021245670426E+001                 -1.3783484944277864E+014                  5.3501917520104877E+011                  0.0000000000000000E+000                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                  1.3520474818857117E-001                  1.3520474818857117E-001                 -4.3445848431940826E-003                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                                        0                  6.6666750713142997E-001                 -1.7609071154221295E-001                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                 -9.8999999999999986E+001                  1.0861769989310565E+003                  3.0359006018601380E+000                  1.0861769989310565E+003                  3.0359006018601380E+000                  0.0000000000000000E+000                  1.5032268232352696E-007                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.8850508479471120E-010                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  8.1622964851610302E-002 
