                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49 
                            model_number                                num_zones                             initial_mass                                initial_z                                 star_age                                time_step                                     Teff                            photosphere_L                            photosphere_r                               center_eta                                center_h1                               center_he3                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                                star_mass                                star_mdot                             star_mass_h1                            star_mass_he3                            star_mass_he4                            star_mass_c12                            star_mass_n14                            star_mass_o16                           star_mass_ne20                             he_core_mass                             co_core_mass                             fe_core_mass                   neutron_rich_core_mass                             dynamic_time                             kh_timescale                            nuc_timescale                           power_nuc_burn                             power_h_burn                            power_he_burn                                power_neu                                burn_min1                                burn_min2                             time_seconds                           version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                     msun                                     rsun                                     lsun 
                                    2250                                     1489                  8.0000000000000000E+001                  2.0000000000000000E-002                  3.0805006292358283E+006                  2.8990217045850962E+001                  5.0275122454789762E+003                  1.9146463286484983E+006                  1.8238586127048700E+003                 -5.2568761887806454E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.7904144621271072E-001                  5.4576830999044669E-004                  9.3880482265597497E-003                  1.4667417120805640E-004                  6.8008412494631612E-003                  8.0000000000000000E+001                  0.0000000000000000E+000                  1.9780619891196498E+001                  2.2219145001538588E-004                  5.8620248539250596E+001                  4.8260273990927138E-002                  7.7197632807474359E-001                  1.9912231616533616E-001                  2.5337271351652263E-001                  2.7290495379885066E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  8.7156306089913070E+007                  4.3159971628437972E+001                  4.1783173635242617E+005                  1.9387116398498728E+006                  1.1877388479255007E+006                  2.7895492267251881E+004                  8.1174958140053539E+004                  5.0000000000000000E+001                  1.0000000000000000E+003                  9.7213206657172578E+013                                "r26.4.1"                               "gfortran"                                 "15.2.0"                    "x86_64-linux-26.3.2"                                 "CRMATH"                               "20260528"                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61                                       62                                       63                                       64                                       65                                       66                                       67                                       68                                       69                                       70                                       71                                       72                                       73                                       74                                       75                                       76                                       77                                       78                                       79                                       80                                       81                                       82                                       83                                       84                                       85                                       86                                       87                                       88                                       89                                       90                                       91                                       92                                       93                                       94                                       95                                       96                                       97                                       98                                       99                                      100                                      101                                      102                                      103                                      104                                      105                                      106                                      107                                      108                                      109                                      110                                      111                                      112                                      113                                      114                                      115                                      116                                      117                                      118                                      119                                      120                                      121                                      122                                      123                                      124                                      125                                      126                                      127                                      128                                      129                                      130                                      131                                      132                                      133                                      134                                      135                                      136                                      137                                      138                                      139                                      140                                      141                                      142                                      143                                      144                                      145                                      146                                      147                                      148                                      149                                      150                                      151                                      152                                      153                                      154                                      155                                      156                                      157                                      158                                      159                                      160                                      161                                      162                                      163                                      164                                      165                                      166                                      167                                      168                                      169                                      170                                      171                                      172                                      173                                      174                                      175                                      176                                      177                                      178                                      179                                      180                                      181                                      182                                      183                                      184                                      185                                      186                                      187                                      188 
                                    zone                                     mass                                     logR                                     logT                                   logRho                                     logP                        x_mass_fraction_H                       y_mass_fraction_He                   z_mass_fraction_metals                     extra_opacity_factor                                       dm                                    logdq                                 dq_ratio                                        q                             vel_km_per_s                                   radius                                radius_cm                                  logR_cm                                     rmid                                 velocity                                  v_div_r                    pressure_scale_height                                     mmid                                    logxq                                       dr                                   log_dr                                dr_div_cs                            log_dr_div_cs                           acoustic_depth                   log_cell_collapse_time                              temperature                                   energy                                     logE                                      rho                                  entropy                                 pressure                                     prad                                     pgas                                  logPgas                          pgas_div_ptotal                                      eta                                       mu                                    grada                                   gamma1                                   free_e                                   csound                               log_csound                             v_div_csound                                 eps_grav                                  eps_nuc                              non_nuc_neu                                       pp                                      cno                                tri_alpha                                  c_alpha                                  n_alpha                                  o_alpha                                 ne_alpha                                 na_alpha                                 mg_alpha                                 si_alpha                                  s_alpha                                 ar_alpha                                 ca_alpha                                 ti_alpha                                 cr_alpha                                 fe_co_ni                                  c12_c12                                  c12_o16                                  o16_o16                                    pnhe4                                    photo                                ni56_co56                                co56_fe56                                    other                                     abar                                     zbar                                    z2bar                                       ye                                        x                                        y                                        z                                    log_z                                       h1                                      he3                                      he4                                      c12                                      n14                                      o16                                     ne20                                     mg24                                   log_h1                                  log_he3                                  log_he4                                  log_c12                                  log_n14                                  log_o16                                 log_ne20                                 log_mg24                                  opacity                              log_opacity                     log_kap_times_factor                               luminosity                                     logL                           log_L_div_Ledd                                  lum_adv                                 lum_conv                                lum_erg_s                         lum_plus_lum_adv                                  lum_rad                        log_abs_lum_erg_s                             total_energy                        mlt_mixing_length                                 conv_vel                             log_conv_vel                             conv_L_div_L                         log_conv_L_div_L                                    gradT                                    gradr                          gradT_sub_grada                      conv_vel_div_csound                            log_mlt_D_mix                                log_D_mix                               log_D_conv                               log_D_semi                                log_D_ovr                               log_D_thrm                            log_D_minimum                    log_D_rayleigh_taylor                              log_D_omega                              log_sig_mix                                 mix_type                                      tau                                   logtau                                    omega                                log_omega                                log_j_rot                            log_J_div_M53                             log_J_inside                            log_abs_shear                                    i_rot                                    j_rot                                    v_rot                                   fp_rot                                   ft_rot                                log_am_nu                                  r_polar                              log_r_polar                             r_equatorial                         log_r_equatorial                              r_e_div_r_p                               omega_crit                     omega_div_omega_crit                               am_log_sig                             am_log_D_DSI                              am_log_D_SH                             am_log_D_SSI                              am_log_D_ES                             am_log_D_GSF                              am_log_D_ST                             am_log_nu_ST                           dynamo_log_B_r                         dynamo_log_B_phi                    RTI_du_diffusion_kick                                alpha_RTI                        boost_for_eta_RTI                                 dedt_RTI                                 dudt_RTI                                  eta_RTI                            log_alpha_RTI                              log_eta_RTI                  log_lambda_RTI_div_Hrho                              log_sig_RTI               log_source_minus_alpha_RTI                log_source_plus_alpha_RTI                               lambda_RTI                           v_div_v_escape                                        u                                   u_face                                   P_face                               extra_heat                                      zFe                         dPdr_dRhodr_info                                    dlogR                                dPdr_info                              dRhodr_info                       log_du_kick_div_du                     L_div_Ledd_effective 
                                       1                  8.0000000000000000E+001                  3.2609911683662660E+000                  3.7013531371720907E+000                 -9.3304505681519583E+000                  2.1796034854925108E+000                  6.9999999990192419E-001                  2.8000000009807585E-001                  2.0000000000000018E-002                  1.0000000000000000E+000                  1.5907278965584403E+023                 -1.2000000000000000E+001                  1.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000                  1.8238586127048700E+003                  1.2688584368587780E+014                  1.4103413171723915E+001                  1.8238586126927657E+003                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.0543462548701266E+000                  7.9999999999959996E+001                 -9.8999999999999986E+001                  1.6832500000000000E+003                  3.2261486231399830E+000                  2.3412381356892721E-003                 -2.6305544104144576E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                  5.0275122465644699E+003                  1.9943435007267561E+012                  1.2299799962211440E+001                  4.6725013103951278E-010                  2.3105187138041288E+001                  1.5121799849599253E+002                  1.6111735328608374E+000                  1.4960682496313169E+002                  2.1749514062036930E+000                  9.8934535869482798E-001                 -2.3762452716761697E+001                  1.3055269565044665E+000                  3.6714861267884907E-001                  1.5971731970152299E+000                  2.9290470620518003E-004                  7.1895719377748936E+005                  5.8567030335544406E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.8516493107523669E-029                  0.0000000000000000E+000                  6.8516493107523669E-029                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.2966429888758599E+000                  1.1021529799845635E+000                  1.3826069776556575E+000                  8.5000496623985000E-001                  6.9999999990192419E-001                  2.8000000009807585E-001                  2.0000000000000018E-002                 -1.6989700043360183E+000                  6.9999999990192419E-001                  2.9797733326902664E-005                  2.7997020236474895E-001                  3.4468833607852207E-003                  1.0103427409344844E-003                  9.3805276451495376E-003                  2.0850244238750345E-003                  4.0772218292556752E-003                 -1.5490196004659143E-001                 -4.5258167708585972E+000                 -5.5288818879064083E-001                 -2.4625734124505998E+000                 -2.9955312744883846E+000                 -2.0277727323104977E+000                 -2.6808888533559174E+000                 -2.3896356592613937E+000                  2.9228083838364694E-003                 -2.5341996555868813E+000                 -2.5341996555868813E+000                  1.9146463286484983E+006                  6.2820885633168224E+000                 -2.2711713498771640E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.3292661460664518E+039                  7.3292661460664518E+039                  1.9146463286484983E+006                  3.9865060492421627E+001                 -8.1679255473394000E+013                  9.8154173790262939E+011                  0.0000000000000000E+000                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                  1.2566948173258069E-001                  1.2566948173258069E-001                 -2.4147913094626838E-001                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                                        0                  6.6666666666666663E-001                 -1.7609125905568127E-001                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                 -9.8999999999999986E+001                  1.8238586127048700E+003                  3.2609911683662660E+000                  1.8238586127048700E+003                  3.2609911683662660E+000                  0.0000000000000000E+000                  7.1897686919278874E-008                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.7612780161759595E-012                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.3550507650464785E-003 
                                       2                  7.9999999999920007E+001                  3.2609911683605048E+000                  3.7013531375122182E+000                 -9.3304505657723595E+000                  2.1796034881990378E+000                  6.9999999990192419E-001                  2.8000000009807585E-001                  2.0000000000000018E-002                  1.0000000000000000E+000                  4.1918591823567266E+023                 -1.1579189212440074E+001                  3.7948028007565587E-001                  9.9999999999900002E-001                  0.0000000000000000E+000                  1.8238586126806749E+003                  1.2688584368419455E+014                  1.4103413171718154E+001                  1.8238586126487951E+003                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.0543462600004059E+000                  7.9999999999814605E+001                 -1.2000000000000000E+001                  4.4339687500000000E+003                  3.6467926279416658E+000                  6.1672221757437962E-003                 -2.2099104057229590E+000                  2.3412381356892721E-003                 -9.8999999999999986E+001                  5.0275122505018808E+003                  1.9943435011095906E+012                  1.2299799962294806E+001                  4.6725013359968186E-010                  2.3105187134714996E+001                  1.5121799943838440E+002                  1.6111735379081471E+000                  1.4960682590047625E+002                  2.1749514089247155E+000                  9.8934535872785012E-001                 -2.3762452704661406E+001                  1.3055269565005729E+000                  3.6714861253204878E-001                  1.5971731966233405E+000                  2.9290470848978390E-004                  7.1895719395989529E+005                  5.8567030336646253E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.8516493482948859E-029                  0.0000000000000000E+000                  6.8516493482948859E-029                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.2966429888758599E+000                  1.1021529799845635E+000                  1.3826069776556575E+000                  8.5000496623985000E-001                  6.9999999990192419E-001                  2.8000000009807585E-001                  2.0000000000000018E-002                 -1.6989700043360183E+000                  6.9999999990192419E-001                  2.9797733326902664E-005                  2.7997020236474895E-001                  3.4468833607852207E-003                  1.0103427409344844E-003                  9.3805276451495376E-003                  2.0850244238750345E-003                  4.0772218292556752E-003                 -1.5490196004659143E-001                 -4.5258167708585972E+000                 -5.5288818879064083E-001                 -2.4625734124505998E+000                 -2.9955312744883846E+000                 -2.0277727323104977E+000                 -2.6808888533559174E+000                 -2.3896356592613937E+000                  2.9228084143699167E-003                 -2.5341996510499749E+000                 -2.5341996510499749E+000                  1.9146463286485011E+006                  6.2820885633168233E+000                 -2.2711713498771631E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.3292661460664627E+039                  7.3292661460664627E+039                  1.9146463286485011E+006                  3.9865060492421627E+001                 -8.1679255474876062E+013                  9.8154173808082922E+011                  0.0000000000000000E+000                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                  1.2566948220099386E-001                  1.2566948220099386E-001                 -2.4147913043747202E-001                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                                        0                  6.6666666896471960E-001                 -1.7609125755863370E-001                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                 -9.8999999999999986E+001                  1.8238586126806749E+003                  3.2609911683605048E+000                  1.8238586126806749E+003                  3.2609911683605048E+000                  0.0000000000000000E+000                  7.1897686921842962E-008                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.5176199937629011E-011                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.3550507684095843E-003 
                                       3                  7.9999999999709189E+001                  3.2609911683453285E+000                  3.7013531385957026E+000                 -9.3304505581920942E+000                  2.1796034968207336E+000                  6.9999999990192419E-001                  2.8000000009807585E-001                  2.0000000000000018E-002                  1.0000000000000000E+000                  1.4228705111943249E+024                 -1.1048430518584281E+001                  2.9460580912863077E-001                  9.9999999999636480E-001                  0.0000000000000000E+000                  1.8238586126169409E+003                  1.2688584367976058E+014                  1.4103413171702977E+001                  1.8238586125087570E+003                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.0543462764421498E+000                  7.9999999999351388E+001                 -1.1439473715899998E+001                  1.5050937500000000E+004                  4.1775635523149850E+000                  2.0934400009182841E-002                 -1.6791394817006284E+000                  8.5084603114330692E-003                 -9.8999999999999986E+001                  5.0275122630445931E+003                  1.9943435023290967E+012                  1.2299799962560369E+001                  4.6725014175516323E-010                  2.3105187124118991E+001                  1.5121800244039255E+002                  1.6111735539864658E+000                  1.4960682888640608E+002                  2.1749514175925877E+000                  9.8934535883304253E-001                 -2.3762452666115632E+001                  1.3055269564881691E+000                  3.6714861206441229E-001                  1.5971731953749659E+000                  2.9290471576744496E-004                  7.1895719454094360E+005                  5.8567030340156139E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.8516494678875038E-029                  0.0000000000000000E+000                  6.8516494678875038E-029                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.2966429888758599E+000                  1.1021529799845635E+000                  1.3826069776556575E+000                  8.5000496623985000E-001                  6.9999999990192419E-001                  2.8000000009807585E-001                  2.0000000000000018E-002                 -1.6989700043360183E+000                  6.9999999990192419E-001                  2.9797733326902538E-005                  2.7997020236474895E-001                  3.4468833607852029E-003                  1.0103427409344844E-003                  9.3805276451495376E-003                  2.0850244238750345E-003                  4.0772218292556752E-003                 -1.5490196004659143E-001                 -4.5258167708585990E+000                 -5.5288818879064083E-001                 -2.4625734124506020E+000                 -2.9955312744883846E+000                 -2.0277727323104977E+000                 -2.6808888533559174E+000                 -2.3896356592613937E+000                  2.9228085116350172E-003                 -2.5341996365975410E+000                 -2.5341996365975410E+000                  1.9146463286485008E+006                  6.2820885633168233E+000                 -2.2711713432983132E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.3292661460664615E+039                  7.3292661460664615E+039                  1.9146463286485008E+006                  3.9865060492421627E+001                 -8.1679255479596656E+013                  9.8154173908606519E+011                  0.0000000000000000E+000                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                  1.2566948466937089E-001                  1.2566948466937089E-001                 -2.4147912775626063E-001                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                                        0                  6.6666667502050991E-001                 -1.7609125361363925E-001                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                 -9.8999999999999986E+001                  1.8238586126169409E+003                  3.2609911683453285E+000                  1.8238586126169409E+003                  3.2609911683453285E+000                  0.0000000000000000E+000                  7.1897686947833864E-008                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.1515144725249842E-011                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.3550508207224805E-003 
                                       4                  7.9999999998993616E+001                  3.2609911682938137E+000                  3.7013531419607548E+000                 -9.3304505346495397E+000                  2.1796035235977405E+000                  6.9999999990192430E-001                  2.8000000009807569E-001                  2.0000000000000018E-002                  1.0000000000000000E+000                  4.2981316686699927E+024                 -1.0568316181846113E+001                  3.3104395604395614E-001                  9.9999999998742006E-001                  0.0000000000000000E+000                  1.8238586124005985E+003                  1.2688584366470964E+014                  1.4103413171651463E+001                  1.8238586120738169E+003                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.0543463273696769E+000                  7.9999999997912809E+001                 -1.0900320764076721E+001                  4.5467484375000000E+004                  4.6577009262244831E+000                  6.3240878046857490E-002                 -1.1990021088812293E+000                  2.9442860320615910E-002                 -9.8999999999999986E+001                  5.0275123019993644E+003                  1.9943435061165889E+012                  1.2299799963385146E+001                  4.6725016708420235E-010                  2.3105187091210340E+001                  1.5121801176394092E+002                  1.6111736039220161E+000                  1.4960683816001890E+002                  2.1749514445130083E+000                  9.8934535915974642E-001                 -2.3762452546401359E+001                  1.3055269564496461E+000                  3.6714861061204157E-001                  1.5971731914978040E+000                  2.9290473837017856E-004                  7.1895719634555792E+005                  5.8567030351057126E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.8516498393145212E-029                  0.0000000000000000E+000                  6.8516498393145212E-029                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.2966429888758597E+000                  1.1021529799845633E+000                  1.3826069776556573E+000                  8.5000496623985000E-001                  6.9999999990192430E-001                  2.8000000009807569E-001                  2.0000000000000018E-002                 -1.6989700043360183E+000                  6.9999999990192430E-001                  2.9797733326903135E-005                  2.7997020236474879E-001                  3.4468833607852159E-003                  1.0103427409344841E-003                  9.3805276451495341E-003                  2.0850244238750340E-003                  4.0772218292556743E-003                 -1.5490196004659135E-001                 -4.5258167708585910E+000                 -5.5288818879064117E-001                 -2.4625734124506002E+000                 -2.9955312744883846E+000                 -2.0277727323104981E+000                 -2.6808888533559174E+000                 -2.3896356592613937E+000                  2.9228088137179479E-003                 -2.5341995917116229E+000                 -2.5341995917116229E+000                  1.9146463286485004E+006                  6.2820885633168233E+000                 -2.2711713209672708E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.3292661460664603E+039                  7.3292661460664603E+039                  1.9146463286485004E+006                  3.9865060492421627E+001                 -8.1679255494258656E+013                  9.8154174249818689E+011                  0.0000000000000000E+000                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                  1.2566949304794878E-001                  1.2566949304794878E-001                 -2.4147911865524435E-001                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                                        0                  6.6666669557608038E-001                 -1.7609124022288336E-001                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                 -9.8999999999999986E+001                  1.8238586124005985E+003                  3.2609911682938137E+000                  1.8238586124005985E+003                  3.2609911682938137E+000                  0.0000000000000000E+000                  7.1897686962017232E-008                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.5562239509039626E-010                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.3550510135497095E-003 
