                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49 
                            model_number                                num_zones                             initial_mass                                initial_z                                 star_age                                time_step                                     Teff                            photosphere_L                            photosphere_r                               center_eta                                center_h1                               center_he3                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                                star_mass                                star_mdot                             star_mass_h1                            star_mass_he3                            star_mass_he4                            star_mass_c12                            star_mass_n14                            star_mass_o16                           star_mass_ne20                             he_core_mass                             co_core_mass                             fe_core_mass                   neutron_rich_core_mass                             dynamic_time                             kh_timescale                            nuc_timescale                           power_nuc_burn                             power_h_burn                            power_he_burn                                power_neu                                burn_min1                                burn_min2                             time_seconds                           version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                     msun                                     rsun                                     lsun 
                                    2450                                     1567                  8.0000000000000000E+001                  2.0000000000000000E-002                  3.2014738372912607E+006                  1.6084210585024662E+003                  4.7399900854696025E+003                  1.9531886626880995E+006                  2.0723847686180670E+003                 -5.0248811970464295E+000                  0.0000000000000000E+000                  1.6314624027781637E-027                  5.3150858313999905E-001                  3.8694696102406001E-001                  2.8685257977423400E-007                  5.7254667196692012E-002                  2.0211487958918396E-002                  8.0000000000000000E+001                  0.0000000000000000E+000                  1.8463665002425319E+001                  2.2218752763156601E-004                  4.9975428621575709E+001                  8.6496352731065720E+000                  5.8192278189094426E-001                  1.4327032670842268E+000                  5.7022749322008681E-001                  2.8142993895347818E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0556444054544663E+008                  3.7234565966981151E+001                  4.0958664940179937E+005                  1.9555001377740153E+006                  1.0208690533126268E+006                  7.4300661857963866E+005                  6.9817567719902567E+004                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.0103083076770269E+014                                "r26.4.1"                               "gfortran"                                 "15.2.0"                    "x86_64-linux-26.3.2"                                 "CRMATH"                               "20260528"                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61                                       62                                       63                                       64                                       65                                       66                                       67                                       68                                       69                                       70                                       71                                       72                                       73                                       74                                       75                                       76                                       77                                       78                                       79                                       80                                       81                                       82                                       83                                       84                                       85                                       86                                       87                                       88                                       89                                       90                                       91                                       92                                       93                                       94                                       95                                       96                                       97                                       98                                       99                                      100                                      101                                      102                                      103                                      104                                      105                                      106                                      107                                      108                                      109                                      110                                      111                                      112                                      113                                      114                                      115                                      116                                      117                                      118                                      119                                      120                                      121                                      122                                      123                                      124                                      125                                      126                                      127                                      128                                      129                                      130                                      131                                      132                                      133                                      134                                      135                                      136                                      137                                      138                                      139                                      140                                      141                                      142                                      143                                      144                                      145                                      146                                      147                                      148                                      149                                      150                                      151                                      152                                      153                                      154                                      155                                      156                                      157                                      158                                      159                                      160                                      161                                      162                                      163                                      164                                      165                                      166                                      167                                      168                                      169                                      170                                      171                                      172                                      173                                      174                                      175                                      176                                      177                                      178                                      179                                      180                                      181                                      182                                      183                                      184                                      185                                      186                                      187                                      188 
                                    zone                                     mass                                     logR                                     logT                                   logRho                                     logP                        x_mass_fraction_H                       y_mass_fraction_He                   z_mass_fraction_metals                     extra_opacity_factor                                       dm                                    logdq                                 dq_ratio                                        q                             vel_km_per_s                                   radius                                radius_cm                                  logR_cm                                     rmid                                 velocity                                  v_div_r                    pressure_scale_height                                     mmid                                    logxq                                       dr                                   log_dr                                dr_div_cs                            log_dr_div_cs                           acoustic_depth                   log_cell_collapse_time                              temperature                                   energy                                     logE                                      rho                                  entropy                                 pressure                                     prad                                     pgas                                  logPgas                          pgas_div_ptotal                                      eta                                       mu                                    grada                                   gamma1                                   free_e                                   csound                               log_csound                             v_div_csound                                 eps_grav                                  eps_nuc                              non_nuc_neu                                       pp                                      cno                                tri_alpha                                  c_alpha                                  n_alpha                                  o_alpha                                 ne_alpha                                 na_alpha                                 mg_alpha                                 si_alpha                                  s_alpha                                 ar_alpha                                 ca_alpha                                 ti_alpha                                 cr_alpha                                 fe_co_ni                                  c12_c12                                  c12_o16                                  o16_o16                                    pnhe4                                    photo                                ni56_co56                                co56_fe56                                    other                                     abar                                     zbar                                    z2bar                                       ye                                        x                                        y                                        z                                    log_z                                       h1                                      he3                                      he4                                      c12                                      n14                                      o16                                     ne20                                     mg24                                   log_h1                                  log_he3                                  log_he4                                  log_c12                                  log_n14                                  log_o16                                 log_ne20                                 log_mg24                                  opacity                              log_opacity                     log_kap_times_factor                               luminosity                                     logL                           log_L_div_Ledd                                  lum_adv                                 lum_conv                                lum_erg_s                         lum_plus_lum_adv                                  lum_rad                        log_abs_lum_erg_s                             total_energy                        mlt_mixing_length                                 conv_vel                             log_conv_vel                             conv_L_div_L                         log_conv_L_div_L                                    gradT                                    gradr                          gradT_sub_grada                      conv_vel_div_csound                            log_mlt_D_mix                                log_D_mix                               log_D_conv                               log_D_semi                                log_D_ovr                               log_D_thrm                            log_D_minimum                    log_D_rayleigh_taylor                              log_D_omega                              log_sig_mix                                 mix_type                                      tau                                   logtau                                    omega                                log_omega                                log_j_rot                            log_J_div_M53                             log_J_inside                            log_abs_shear                                    i_rot                                    j_rot                                    v_rot                                   fp_rot                                   ft_rot                                log_am_nu                                  r_polar                              log_r_polar                             r_equatorial                         log_r_equatorial                              r_e_div_r_p                               omega_crit                     omega_div_omega_crit                               am_log_sig                             am_log_D_DSI                              am_log_D_SH                             am_log_D_SSI                              am_log_D_ES                             am_log_D_GSF                              am_log_D_ST                             am_log_nu_ST                           dynamo_log_B_r                         dynamo_log_B_phi                    RTI_du_diffusion_kick                                alpha_RTI                        boost_for_eta_RTI                                 dedt_RTI                                 dudt_RTI                                  eta_RTI                            log_alpha_RTI                              log_eta_RTI                  log_lambda_RTI_div_Hrho                              log_sig_RTI               log_source_minus_alpha_RTI                log_source_plus_alpha_RTI                               lambda_RTI                           v_div_v_escape                                        u                                   u_face                                   P_face                               extra_heat                                      zFe                         dPdr_dRhodr_info                                    dlogR                                dPdr_info                              dRhodr_info                       log_du_kick_div_du                     L_div_Ledd_effective 
                                       1                  8.0000000000000000E+001                  3.3164703916977731E+000                  3.6757774333213153E+000                 -9.2544043060090146E+000                  2.2286158407330534E+000                  6.9999999990192419E-001                  2.8000000009807585E-001                  2.0000000000000018E-002                  1.0000000000000000E+000                  1.5907278965584403E+023                 -1.2000000000000000E+001                  1.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000                  2.0723847686180670E+003                  1.4417580835275894E+014                  1.4158892395055423E+001                  2.0723847686101894E+003                  0.0000000000000000E+000                  0.0000000000000000E+000                  8.5581779493650281E+000                  7.9999999999959996E+001                 -9.8999999999999986E+001                  1.0940937500000000E+003                  3.0390545371374884E+000                  1.5516191381602018E-003                 -2.8092148723137247E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                  4.7399900860181097E+003                  1.9614144020134563E+012                  1.2292569359855626E+001                  5.5666727879414425E-010                  2.2888781882272848E+001                  1.6928397206847345E+002                  1.2730325364885131E+000                  1.6801093953198495E+002                  2.2253375604383594E+000                  9.9247989918399615E-001                 -2.4190722635578375E+001                  1.3057807155049623E+000                  3.8373166628606958E-001                  1.6350034453461131E+000                  1.4673311241244821E-004                  7.0513035260527756E+005                  5.8482694094512127E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  8.1628731905664261E-029                  0.0000000000000000E+000                  8.1628731905664261E-029                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.2966429888758597E+000                  1.1021529799845633E+000                  1.3826069776556573E+000                  8.5000496623985000E-001                  6.9999999990192419E-001                  2.8000000009807585E-001                  2.0000000000000018E-002                 -1.6989700043360183E+000                  6.9999999990192419E-001                  2.9797733326902430E-005                  2.7997020236474895E-001                  3.4468833607851908E-003                  1.0103427409344844E-003                  9.3805276451495376E-003                  2.0850244238750345E-003                  4.0772218292556752E-003                 -1.5490196004659143E-001                 -4.5258167708586008E+000                 -5.5288818879064083E-001                 -2.4625734124506038E+000                 -2.9955312744883846E+000                 -2.0277727323104977E+000                 -2.6808888533559174E+000                 -2.3896356592613937E+000                  2.0190439767083759E-003                 -2.6948542216042641E+000                 -2.6948542216042641E+000                  1.9531886626880995E+006                  6.2907441947507872E+000                 -2.4231702851781702E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.4768062007700457E+039                  7.4768062007700457E+039                  1.9531886626880995E+006                  3.9873716123855587E+001                 -7.1677813436113719E+013                  1.1907848798746499E+012                  0.0000000000000000E+000                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                  1.2547178027604117E-001                  1.2547178027604117E-001                 -2.5825988601002842E-001                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                                        0                  6.6666666666666663E-001                 -1.7609125905568127E-001                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                 -9.8999999999999986E+001                  2.0723847686180670E+003                  3.3164703916977731E+000                  2.0723847686180670E+003                  3.3164703916977731E+000                  0.0000000000000000E+000                  5.9407476319976361E-008                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.2956855496925145E-012                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7736764157136637E-003 
                                       2                  7.9999999999920007E+001                  3.3164703916944775E+000                  3.6757774335032969E+000                 -9.2544043047353721E+000                  2.2286158421834341E+000                  6.9999999990192419E-001                  2.8000000009807585E-001                  2.0000000000000018E-002                  1.0000000000000000E+000                  4.1918591823567266E+023                 -1.1579189212440074E+001                  3.7948028007565587E-001                  9.9999999999900002E-001                  0.0000000000000000E+000                  2.0723847686023405E+003                  1.4417580835166484E+014                  1.4158892395052126E+001                  2.0723847685816077E+003                  0.0000000000000000E+000                  0.0000000000000000E+000                  8.5581779527264903E+000                  7.9999999999814605E+001                 -1.2000000000000000E+001                  2.8827500000000000E+003                  3.4598069808106007E+000                  4.0882511848370140E-003                 -2.3884624287154765E+000                  1.5516191381602018E-003                 -9.8999999999999986E+001                  4.7399900880042997E+003                  1.9614144021999150E+012                  1.2292569359896913E+001                  5.5666728042666522E-010                  2.2888781880482973E+001                  1.6928397263381831E+002                  1.2730325386222596E+000                  1.6801094009519605E+002                  2.2253375618942139E+000                  9.9247989919650581E-001                 -2.4190722630572761E+001                  1.3057807155042696E+000                  3.8373166625216037E-001                  1.6350034452444286E+000                  1.4673311280565077E-004                  7.0513035272682901E+005                  5.8482694095260772E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  8.1628732145059781E-029                  0.0000000000000000E+000                  8.1628732145059781E-029                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.2966429888758597E+000                  1.1021529799845633E+000                  1.3826069776556573E+000                  8.5000496623985000E-001                  6.9999999990192419E-001                  2.8000000009807585E-001                  2.0000000000000018E-002                 -1.6989700043360183E+000                  6.9999999990192419E-001                  2.9797733326902430E-005                  2.7997020236474895E-001                  3.4468833607851908E-003                  1.0103427409344844E-003                  9.3805276451495376E-003                  2.0850244238750345E-003                  4.0772218292556752E-003                 -1.5490196004659143E-001                 -4.5258167708586008E+000                 -5.5288818879064083E-001                 -2.4625734124506038E+000                 -2.9955312744883846E+000                 -2.0277727323104977E+000                 -2.6808888533559174E+000                 -2.3896356592613937E+000                  2.0190439856732742E-003                 -2.6948542196759226E+000                 -2.6948542196759226E+000                  1.9531886626880995E+006                  6.2907441947507872E+000                 -2.4231702851781702E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.4768062007700457E+039                  7.4768062007700457E+039                  1.9531886626880995E+006                  3.9873716123855587E+001                 -7.1677813436809031E+013                  1.1907848799910752E+012                  0.0000000000000000E+000                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                  1.2547178048684102E-001                  1.2547178048684102E-001                 -2.5825988578990045E-001                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                                        0                  6.6666666789621898E-001                 -1.7609125825469957E-001                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                 -9.8999999999999986E+001                  2.0723847686023405E+003                  3.3164703916944775E+000                  2.0723847686023405E+003                  3.3164703916944775E+000                  0.0000000000000000E+000                  5.9407476321175653E-008                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  8.6835759708190412E-012                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7736764157761068E-003 
                                       3                  7.9999999999709189E+001                  3.3164703916857938E+000                  3.6757774340830056E+000                 -9.2544043006781447E+000                  2.2286158468036668E+000                  6.9999999990192419E-001                  2.8000000009807585E-001                  2.0000000000000018E-002                  1.0000000000000000E+000                  1.4228705111943249E+024                 -1.1048430518584281E+001                  2.9460580912863077E-001                  9.9999999999636480E-001                  0.0000000000000000E+000                  2.0723847685609039E+003                  1.4417580834878209E+014                  1.4158892395043443E+001                  2.0723847684905622E+003                  0.0000000000000000E+000                  0.0000000000000000E+000                  8.5581779635013309E+000                  7.9999999999351388E+001                 -1.1439473715899998E+001                  9.7853437500000000E+003                  3.9905760866221174E+000                  1.3877354317234331E-002                 -1.8576933231424417E+000                  5.6398703229972157E-003                 -9.8999999999999986E+001                  4.7399900943313769E+003                  1.9614144027938411E+012                  1.2292569360028418E+001                  5.5666728562711385E-010                  2.2888781874781330E+001                  1.6928397443474219E+002                  1.2730325454193840E+000                  1.6801094188932279E+002                  2.2253375665318842E+000                  9.9247989923635604E-001                 -2.4190722614627227E+001                  1.3057807155020629E+000                  3.8373166614414128E-001                  1.6350034449205080E+000                  1.4673311405821108E-004                  7.0513035311403347E+005                  5.8482694097645593E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  8.1628732907662010E-029                  0.0000000000000000E+000                  8.1628732907662010E-029                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.2966429888758597E+000                  1.1021529799845633E+000                  1.3826069776556573E+000                  8.5000496623985000E-001                  6.9999999990192419E-001                  2.8000000009807585E-001                  2.0000000000000018E-002                 -1.6989700043360183E+000                  6.9999999990192419E-001                  2.9797733326902443E-005                  2.7997020236474895E-001                  3.4468833607851908E-003                  1.0103427409344844E-003                  9.3805276451495376E-003                  2.0850244238750345E-003                  4.0772218292556752E-003                 -1.5490196004659143E-001                 -4.5258167708586008E+000                 -5.5288818879064083E-001                 -2.4625734124506038E+000                 -2.9955312744883846E+000                 -2.0277727323104977E+000                 -2.6808888533559174E+000                 -2.3896356592613937E+000                  2.0190440142312865E-003                 -2.6948542135331208E+000                 -2.6948542135331208E+000                  1.9531886626880995E+006                  6.2907441947507872E+000                 -2.4231702823812720E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.4768062007700457E+039                  7.4768062007700457E+039                  1.9531886626880995E+006                  3.9873716123855587E+001                 -7.1677813439023906E+013                  1.1907848806491721E+012                  0.0000000000000000E+000                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                  1.2547178159750441E-001                  1.2547178159750441E-001                 -2.5825988463007465E-001                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                                        0                  6.6666667113631450E-001                 -1.7609125614396617E-001                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                 -9.8999999999999986E+001                  2.0723847685609039E+003                  3.3164703916857938E+000                  2.0723847685609039E+003                  3.3164703916857938E+000                  0.0000000000000000E+000                  5.9407475903894103E-008                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.9476019073654398E-011                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7736764291829848E-003 
                                       4                  7.9999999998993616E+001                  3.3164703916563179E+000                  3.6757774358834467E+000                 -9.2544042880773389E+000                  2.2286158611530333E+000                  6.9999999990192430E-001                  2.8000000009807569E-001                  2.0000000000000018E-002                  1.0000000000000000E+000                  4.2981316686699927E+024                 -1.0568316181846113E+001                  3.3104395604395614E-001                  9.9999999998742006E-001                  0.0000000000000000E+000                  2.0723847684202492E+003                  1.4417580833899675E+014                  1.4158892395013966E+001                  2.0723847682077944E+003                  0.0000000000000000E+000                  0.0000000000000000E+000                  8.5581779968732175E+000                  7.9999999997912809E+001                 -1.0900320764076721E+001                  2.9558937500000000E+004                  4.4706888192295482E+000                  4.1919819958180581E-002                 -1.3775805912756798E+000                  1.9517224640231548E-002                 -9.8999999999999986E+001                  4.7399901139818057E+003                  1.9614144046384731E+012                  1.2292569360436856E+001                  5.5666730177849608E-010                  2.2888781857073432E+001                  1.6928398002799284E+002                  1.2730325665296691E+000                  1.6801094746146316E+002                  2.2253375809354092E+000                  9.9247989936012160E-001                 -2.4190722565104068E+001                  1.3057807154952086E+000                  3.8373166580865864E-001                  1.6350034439144858E+000                  1.4673311794837334E-004                  7.0513035431660118E+005                  5.8482694105052282E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  8.1628735276126978E-029                  0.0000000000000000E+000                  8.1628735276126978E-029                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.2966429888758595E+000                  1.1021529799845631E+000                  1.3826069776556571E+000                  8.5000496623984989E-001                  6.9999999990192430E-001                  2.8000000009807569E-001                  2.0000000000000018E-002                 -1.6989700043360183E+000                  6.9999999990192430E-001                  2.9797733326902938E-005                  2.7997020236474879E-001                  3.4468833607851908E-003                  1.0103427409344841E-003                  9.3805276451495341E-003                  2.0850244238750340E-003                  4.0772218292556743E-003                 -1.5490196004659135E-001                 -4.5258167708585937E+000                 -5.5288818879064117E-001                 -2.4625734124506038E+000                 -2.9955312744883846E+000                 -2.0277727323104981E+000                 -2.6808888533559174E+000                 -2.3896356592613937E+000                  2.0190441029258300E-003                 -2.6948541944550080E+000                 -2.6948541944550080E+000                  1.9531886626880995E+006                  6.2907441947507872E+000                 -2.4231702728875453E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.4768062007700457E+039                  7.4768062007700457E+039                  1.9531886626880995E+006                  3.9873716123855587E+001                 -7.1677813445902812E+013                  1.1907848828829907E+012                  0.0000000000000000E+000                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                  1.2547178536750839E-001                  1.2547178536750839E-001                 -2.5825988069319505E-001                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                                        0                  6.6666668213438529E-001                 -1.7609124897936410E-001                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                 -9.8999999999999986E+001                  2.0723847684202492E+003                  3.3164703916563179E+000                  2.0723847684202492E+003                  3.3164703916563179E+000                  0.0000000000000000E+000                  5.9407475991720375E-008                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  8.9039055103771360E-011                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7736764804622070E-003 
